generation,best_fitness,best_fitness_so_far,best_lander_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
0,-2154.1386139127735,-2154.1386139127735,-107.04043069563868,-10282.51167284946,5882.77041577925,18,15.359375,128,0,128,0.0,1.0,2560,3,2557,0.001171875,0.998828125,-513.2154352049729,483.0659347361501,-1022.6942817704705,-102.26942817704705,32.41510036425695,0.0,-1022.6942817704705
1,-2134.922309680979,-2134.922309680979,-106.03161548404896,-4090.4844115077813,3322.4302539108344,19,15.9296875,128,0,128,0.0,1.0,2560,0,2560,0.0,1.0,-203.78413073163907,235.2535398307409,-1116.2126537387278,-111.6212653738728,14.010781657074808,0.0,-1022.6942817704705
2,-1889.676505266154,-1889.676505266154,-93.7878252633077,-3107.8943081607704,2191.432215766769,14,19.0859375,128,0,128,0.0,1.0,2560,0,2560,0.0,1.0,-154.6353130642885,155.81196720559916,-748.48969429826,-74.84896942982598,53.948009466601135,0.0,-748.48969429826
3,-1767.2697222959284,-1767.2697222959284,-87.54048611479641,-3580.000265538186,3320.543306668336,15,20.8828125,128,0,128,0.0,1.0,2560,2,2558,0.00078125,0.99921875,-178.2545328081593,221.09805129157098,-763.9295360064658,-76.39295360064658,35.01265640055106,0.0,-748.48969429826
4,-1687.5579866349528,-1687.5579866349528,-83.68889933174765,-3718.3566933515267,3599.4433116198466,21,22.8046875,128,0,128,0.0,1.0,2560,0,2560,0.0,1.0,-185.15735029257633,211.81177806181128,-879.741711127441,-87.9741711127441,29.819954119451587,0.0,-748.48969429826
5,-1329.6939736229783,-1329.6939736229783,-65.76969868114892,-3085.16466716147,2780.2518431064213,15,25.40625,128,0,128,0.0,1.0,2560,0,2560,0.0,1.0,-153.4814677330735,160.3428740206961,-738.289113432077,-73.8289113432077,22.60334278387779,0.0,-738.289113432077
6,-1256.745643149209,-1256.745643149209,-62.05778215746045,-2897.7164903273106,2805.7905090762415,37,25.8515625,128,0,128,0.0,1.0,2560,1,2559,0.000390625,0.999609375,-144.10220342261556,162.1208490968211,-815.2014376179078,-81.52014376179076,27.04684552092319,0.0,-738.289113432077
7,-1270.1901709165131,-1256.745643149209,-62.74700854582566,-2340.52047215144,1869.3917111654864,22,23.0390625,128,0,128,0.0,1.0,2560,1,2559,0.000390625,0.999609375,-116.26543767007202,111.4019312263839,-828.2169592152337,-82.82169592152337,29.04192321322643,0.0,-738.289113432077
8,-1113.2732948543726,-1113.2732948543726,-54.90166474271863,-2441.4468056023325,2404.6611407147084,22,22.78125,128,0,128,0.0,1.0,2560,1,2559,0.000390625,0.999609375,-121.27994184261661,147.42921309489495,-582.2867998574887,-58.22867998574888,32.57553489947515,0.0,-582.2867998574887
9,-1030.850183574366,-1030.850183574366,-50.7350091787183,-2366.1606691178804,2717.583053047597,37,22.3359375,128,0,128,0.0,1.0,2560,0,2560,0.0,1.0,-117.518263924644,168.05662405197944,-541.5364483197894,-54.15364483197895,20.215294489330947,0.0,-541.5364483197894
10,-897.3780907027048,-897.3780907027048,-44.01540453513523,-2330.5608432875397,2966.539523126061,15,25.1640625,128,0,128,0.0,1.0,2560,1,2559,0.000390625,0.999609375,-115.73820232062698,207.908313592788,-360.4637072806405,-36.04637072806404,13.55261982474734,0.0,-360.4637072806405
11,-731.4488782503073,-731.4488782503073,-35.66044391251536,-2168.1985393440173,2245.583944684985,37,29.375,128,0,128,0.0,1.0,2560,2,2558,0.00078125,0.99921875,-107.63134493595085,139.27613373395806,-437.3310585712442,-43.733105857124414,15.315623416587895,0.0,-360.4637072806405
12,-643.792989134828,-643.792989134828,-31.215649456741396,-2777.6766535606457,4376.411064488863,37,27.9296875,128,0,128,0.0,1.0,2560,3,2557,0.001171875,0.998828125,-138.03245767803227,298.2425202136614,-338.27386288442955,-33.82738628844295,24.770705063937072,0.0,-338.27386288442955
13,-613.41574109861,-613.41574109861,-29.852787054930495,-3025.702574026585,4224.437196858462,40,25.3671875,128,0,128,0.0,1.0,2560,0,2560,0.0,1.0,-150.39675370132923,241.1890123910648,-390.82045088385917,-39.08204508838592,26.817088395099862,0.0,-338.27386288442955
14,322.8215181684803,322.8215181684803,17.922575908424015,-3045.816012006627,4279.942788430431,37,25.8671875,128,0,128,0.0,1.0,2560,10,2550,0.00390625,0.99609375,-151.35844903783135,288.4442342916618,-206.32740811001202,-20.632740811001202,96.13687505152936,0.1,-206.32740811001202
15,619.1264059026171,619.1264059026171,32.94282029513086,-2605.4868933291764,3973.9406193868767,37,26.8359375,128,0,128,0.0,1.0,2560,23,2537,0.008984375,0.991015625,-129.34078997895887,229.7274235293492,359.15837309368885,35.91583730936888,132.83887174306213,0.3,359.15837309368885
16,383.5535709142153,619.1264059026171,20.996678545710765,-2883.287423976014,4096.120186698177,37,33.625,128,0,128,0.0,1.0,2560,54,2506,0.02109375,0.97890625,-143.0959688550507,259.4616032164615,-136.19605692334218,-13.619605692334218,83.62930604979923,0.2,359.15837309368885
17,891.4892636539275,891.4892636539275,46.47396318269638,-2371.685548238414,3419.084680479789,37,38.875,128,0,128,0.0,1.0,2560,121,2439,0.047265625,0.952734375,-117.40987897442069,268.73200697576027,689.3389818963865,68.93389818963865,139.88515064736103,0.4,689.3389818963865
18,1008.2519327088453,1008.2519327088453,52.21159663544228,-2930.7141506962153,4203.76888806693,42,39.90625,128,0,128,0.0,1.0,2560,172,2388,0.0671875,0.9328125,-145.27488722231075,330.53448826980406,347.79405452609103,34.7794054526091,147.39731009329319,0.3,689.3389818963865
19,993.3110646277025,1008.2519327088453,51.38005323138513,-2420.9767822286785,3807.3684417304266,37,40.1796875,128,0,128,0.0,1.0,2560,218,2342,0.08515625,0.91484375,-119.70458520518392,290.3107269840106,456.82889043979367,45.682889043979365,128.7215360958839,0.3,689.3389818963865
20,1033.386419486595,1033.386419486595,53.689820974329756,-2036.2280764914844,3167.717266141036,42,40.1328125,128,0,128,0.0,1.0,2560,223,2337,0.087109375,0.912890625,-100.53068898082422,215.31784035384388,573.7069140088303,57.370691400883025,127.59361150161578,0.4,689.3389818963865
21,1717.4341205505996,1717.4341205505996,87.96370602752998,-2192.0602676655303,3837.228067545132,37,40.4375,128,0,128,0.0,1.0,2560,280,2280,0.109375,0.890625,-108.17238057077653,253.87451964673306,-105.5807002200952,-10.55807002200952,103.02050856603059,0.2,689.3389818963865
22,1128.1644640692875,1717.4341205505996,58.98922320346437,-1925.9374721198024,3391.842538134218,44,40.359375,128,0,128,0.0,1.0,2560,288,2272,0.1125,0.8875,-94.88410407474011,227.0900525756021,815.5467545423879,81.5546754542388,131.2609359172199,0.4,815.5467545423879
23,1570.8751918669807,1717.4341205505996,80.85975959334903,-2543.210217927165,4360.482244440263,37,41.5859375,128,0,128,0.0,1.0,2560,288,2272,0.1125,0.8875,-125.75148355260822,289.02960664275815,215.8034626087387,21.58034626087387,145.55107648027246,0.3,815.5467545423879
24,1817.004063434556,1817.004063434556,92.8827031717278,-1892.6340889271792,3371.3589597788696,37,40.9296875,128,0,128,0.0,1.0,2560,312,2248,0.121875,0.878125,-93.17339585260895,212.3605537122375,296.1520485645571,29.615204856455712,118.51476406896045,0.3,815.5467545423879
25,1490.430415369694,1817.004063434556,76.8645207684847,-1824.188374867668,3381.5789133054172,40,42.140625,128,0,128,0.0,1.0,2560,354,2206,0.13828125,0.86171875,-89.68628593088341,253.39157761364058,269.0066653933105,26.900666539331052,138.2373641662391,0.3,815.5467545423879
26,1434.3690017018175,1817.004063434556,73.91495008509087,-2104.782012923951,3487.686273989691,40,42.6171875,128,0,128,0.0,1.0,2560,327,2233,0.127734375,0.872265625,-103.76253814619754,254.20813301246048,656.9628895711254,65.69628895711254,127.28594665750609,0.4,815.5467545423879
27,1805.8694030182692,1817.004063434556,92.27697015091347,-1630.7289891205482,3112.7668133937386,45,43.2578125,128,0,128,0.0,1.0,2560,387,2173,0.151171875,0.848828125,-80.10262523727741,234.71298936837326,444.12789538000675,44.41278953800067,126.46729518290516,0.4,815.5467545423879
28,2053.5740693382177,2053.5740693382177,104.85570346691088,-1893.2016435037513,3739.6394821711483,40,44.5546875,128,0,128,0.0,1.0,2560,416,2144,0.1625,0.8375,-93.18935561268756,229.29804490875807,241.24711546490335,24.124711546490328,130.74739552690295,0.3,815.5467545423879
29,2471.4089193185087,2471.4089193185087,125.89194596592543,-1712.5782418994197,3491.845736457557,40,45.1796875,128,0,128,0.0,1.0,2560,417,2143,0.162890625,0.837109375,-84.150400376221,226.77543493746288,77.17509685587667,7.717509685587666,109.78077589081349,0.3,815.5467545423879
30,2202.7139745546365,2471.4089193185087,112.29969872773181,-1100.258156334804,3099.2215681213147,40,45.2265625,128,0,128,0.0,1.0,2560,486,2074,0.18984375,0.81015625,-53.501353129240194,200.35058816258422,121.69224538589094,12.169224538589095,105.17514847318014,0.2,815.5467545423879
31,2543.1825581716157,2543.1825581716157,129.17462790858082,-1253.1046240373425,3846.5724044420413,40,43.4375,128,0,128,0.0,1.0,2560,583,1977,0.227734375,0.772265625,-60.99824682686716,264.14448045894835,1212.938136778545,121.2938136778545,140.82152442671838,0.6,1212.938136778545
32,2327.3122892668443,2543.1825581716157,118.8516144633422,-1428.7760426561676,3985.7567243105022,45,41.296875,128,0,128,0.0,1.0,2560,545,2015,0.212890625,0.787109375,-69.77638807030837,263.3337330615636,717.0687021464678,71.70687021464678,141.269319661894,0.5,1212.938136778545
33,2321.100491338387,2543.1825581716157,118.32402456691939,-1557.721510478435,3306.4527506647587,45,42.5234375,128,0,128,0.0,1.0,2560,485,2075,0.189453125,0.810546875,-76.21644271142176,212.80472336197442,1121.1911887676779,112.11911887676779,119.39042101944446,0.6,1212.938136778545
34,2231.2259630157487,2543.1825581716157,113.92579815078739,-1161.8783589182303,2742.1470004615107,45,42.6875,128,0,128,0.0,1.0,2560,501,2059,0.195703125,0.804296875,-56.543183570911516,186.21348287795374,1158.5647138640354,115.85647138640354,99.66360209247743,0.7,1212.938136778545
35,2436.578816631049,2543.1825581716157,123.87594083155241,-960.3552558676636,3315.7248430164545,50,43.359375,128,0,128,0.0,1.0,2560,581,1979,0.226953125,0.773046875,-46.391258887133176,225.15137933882656,445.6556673734469,44.56556673734469,105.3108330360503,0.3,1212.938136778545
36,2748.209382865651,2748.209382865651,140.02096914328257,-1686.687557406473,3616.959187423795,45,44.34375,128,0,128,0.0,1.0,2560,497,2063,0.194140625,0.805859375,-82.72639349532362,235.1548576348659,1390.1345732648326,139.01345732648326,125.30641357089165,0.8,1390.1345732648326
37,2366.641863587849,2748.209382865651,120.63409317939242,-2100.8155728670436,4204.597858350699,45,43.6875,128,0,128,0.0,1.0,2560,504,2056,0.196875,0.803125,-103.49616926835215,276.7595150055835,1357.9231822242837,135.79231822242838,134.23800165312574,0.6,1390.1345732648326
38,2381.969986547468,2748.209382865651,121.90799932737339,-1095.9091544926046,3622.6052669178143,45,46.7578125,128,0,128,0.0,1.0,2560,594,1966,0.23203125,0.76796875,-53.07818428713024,235.1651210756893,1254.4660352843875,125.44660352843876,160.57566695277632,0.6,1390.1345732648326
39,2571.83461613362,2748.209382865651,130.80573080668103,-1392.747987506541,4109.343874312402,45,46.5703125,128,0,128,0.0,1.0,2560,569,1991,0.222265625,0.777734375,-67.93134078157705,268.264850335798,1346.3792277718312,134.63792277718312,93.59489616518353,0.7,1390.1345732648326
40,2676.2182910730817,2748.209382865651,136.8579145536541,-1184.3601254049547,3746.708743232779,55,47.2265625,128,0,128,0.0,1.0,2560,657,1903,0.256640625,0.743359375,-57.48175627024775,246.273781257169,1468.9060021991195,146.89060021991196,153.28297176223435,0.7,1468.9060021991195
41,3302.4137880847343,3302.4137880847343,167.8046894042367,-834.5911516951694,3248.9720883915284,55,48.484375,128,0,128,0.0,1.0,2560,677,1883,0.264453125,0.735546875,-39.90589742850846,209.9447846185001,1399.809041234687,139.98090412346872,126.09984879434866,0.7,1468.9060021991195
42,2941.73749898889,3302.4137880847343,149.4398749494445,-1768.9018781992359,4218.820958781425,54,49.6328125,128,0,128,0.0,1.0,2560,624,1936,0.24375,0.75625,-86.67889469121178,263.20498937830166,1402.8439227867523,140.28439227867523,112.23898172204157,0.7,1468.9060021991195
43,3193.9981904364645,3302.4137880847343,162.31140952182324,-1609.088439993779,4444.470919277124,58,51.1796875,128,0,128,0.0,1.0,2560,663,1897,0.258984375,0.741015625,-78.67067590593895,313.2991740371378,612.0558032695551,61.20558032695551,151.10690004921133,0.4,1468.9060021991195
44,3353.724844994936,3353.724844994936,170.6037422497468,-929.2009168060063,4041.525421349208,55,50.6953125,128,0,128,0.0,1.0,2560,750,1810,0.29296875,0.70703125,-44.559471621550315,267.7368891069636,1187.17677297789,118.71767729778898,178.21460257058743,0.6,1468.9060021991195
45,3222.175798275682,3353.724844994936,163.5197899137841,-953.2952927645741,4382.897397643819,55,53.3203125,128,0,128,0.0,1.0,2560,791,1769,0.308984375,0.691015625,-45.76245995072871,293.0199150272941,827.5464252047007,82.75464252047007,123.1719049330492,0.4,1468.9060021991195
46,3569.9099039395646,3569.9099039395646,181.44299519697822,-92.94971274468168,3235.154739772278,50,55.2421875,128,0,128,0.0,1.0,2560,905,1655,0.353515625,0.646484375,-2.6247825122340886,215.96900890636138,977.066104482642,97.70661044826417,156.15341181142932,0.6,1468.9060021991195
47,3240.3153689772516,3569.9099039395646,164.3772684488626,-902.6715464446429,4061.219154956487,55,56.4375,128,0,128,0.0,1.0,2560,850,1710,0.33203125,0.66796875,-43.193237478482146,266.90621430553483,602.7850789216371,60.2785078921637,119.71668851803054,0.4,1468.9060021991195
48,3379.380815997969,3569.9099039395646,171.74854079989845,-1015.8008019998276,4097.418352917907,62,56.6171875,128,0,128,0.0,1.0,2560,807,1753,0.315234375,0.684765625,-48.847501037491384,275.68605496884277,585.6049894827702,58.560498948277015,138.1292344353174,0.4,1468.9060021991195
49,3399.347818399035,3569.9099039395646,172.56339091995181,-760.8850646508037,4132.743142515881,55,56.671875,128,0,128,0.0,1.0,2560,853,1707,0.333203125,0.666796875,-36.16240557629018,272.6865322339819,715.662393995178,71.5662393995178,139.65291937117826,0.5,1468.9060021991195
50,3328.7272575337447,3569.9099039395646,168.44986287668723,-327.5060642133992,3266.820496756556,53,55.9375,128,0,128,0.0,1.0,2560,852,1708,0.3328125,0.6671875,-14.457748523169963,218.8669442501503,203.5704106655652,20.35704106655652,122.86227940120386,0.2,1468.9060021991195
51,3337.7743836065592,3569.9099039395646,169.570219180328,-997.9286510813721,4129.865980766414,62,56.2421875,128,0,128,0.0,1.0,2560,755,1805,0.294921875,0.705078125,-48.1037684915686,267.56302872547485,722.8396511250656,72.28396511250656,138.20175866385503,0.4,1468.9060021991195
52,3209.8157948471935,3569.9099039395646,162.9002897423597,-1714.0847466050172,4519.448776406544,53,56.484375,128,0,128,0.0,1.0,2560,687,1873,0.268359375,0.731640625,-83.90816701775087,304.7801643954465,1128.9859409021483,112.89859409021483,127.06616864248166,0.6,1468.9060021991195
53,4199.626219247845,4199.626219247845,212.23781096239227,-396.37764106626764,3449.1780417140694,53,55.0390625,128,0,128,0.0,1.0,2560,856,1704,0.334375,0.665625,-17.958409397063384,231.67978992855225,1649.540972308251,164.9540972308251,126.35403294068847,0.7,1649.540972308251
54,4147.640564890185,4199.626219247845,209.55552824450925,-975.2854041793014,4216.402185629402,59,54.1171875,128,0,128,0.0,1.0,2560,806,1754,0.31484375,0.68515625,-47.00797333396507,274.4694604506012,894.8763047323636,89.48763047323635,157.45617981074147,0.4,1649.540972308251
55,3214.7810719709514,4199.626219247845,162.98055359854757,-712.8991600765496,3919.845328990949,49,53.65625,128,0,128,0.0,1.0,2560,773,1787,0.301953125,0.698046875,-33.88776659757747,273.97677765139036,1342.3886926510177,134.23886926510175,151.2968423754329,0.6,1649.540972308251
56,3865.7027828594682,4199.626219247845,195.34813914297342,-891.6818911235516,3947.910373744292,53,54.890625,128,0,128,0.0,1.0,2560,748,1812,0.2921875,0.7078125,-42.86474689992757,263.90008460380176,2085.1847298919083,208.51847298919083,78.15535552002432,0.9,2085.1847298919083
57,3592.1992503655697,4199.626219247845,181.67346251827848,-678.0843231054027,3733.328672819532,53,54.796875,128,0,128,0.0,1.0,2560,827,1733,0.323046875,0.676953125,-32.12471615527013,245.38631478649384,2218.387138055113,221.8387138055113,92.63257976403051,0.9,2218.387138055113
58,3534.0047275575007,4199.626219247845,178.82573637787505,-939.6202761005068,3950.4833286564963,62,54.1015625,128,0,128,0.0,1.0,2560,737,1823,0.287890625,0.712109375,-45.28685755502535,274.3903299535007,1362.9708702934659,136.29708702934659,129.362507557941,0.7,2218.387138055113
59,3493.247639307365,4199.626219247845,177.02388196536825,-939.4756213587815,4185.526576546763,53,54.296875,128,0,128,0.0,1.0,2560,824,1736,0.321875,0.678125,-45.171757630439075,293.0180953137746,453.1599082014834,45.31599082014834,147.5598433204707,0.4,2218.387138055113
60,4560.798724023122,4560.798724023122,230.60393620115605,-946.3240395713443,4020.1797447356707,62,54.4765625,128,0,128,0.0,1.0,2560,711,1849,0.277734375,0.722265625,-45.69458088481722,251.3080770334241,1009.0325887052106,100.90325887052106,131.18607311985585,0.5,2218.387138055113
61,3739.813094274282,4560.798724023122,189.15265471371407,-1450.1207376839125,5260.365464190886,53,54.3125,128,0,128,0.0,1.0,2560,838,1722,0.32734375,0.67265625,-70.74503297794561,333.3366760300705,1873.4627965692418,187.3462796569242,118.91422223360294,0.8,2218.387138055113
62,3860.9952995766344,4560.798724023122,195.35876497883174,-848.9200962248534,3994.9160908360313,58,56.0859375,128,0,128,0.0,1.0,2560,812,1748,0.3171875,0.6828125,-40.76065715499267,254.07717247730696,1328.4439550529994,132.84439550529993,151.2605792791905,0.7,2218.387138055113
63,3826.946710429151,4560.798724023122,193.5833355214576,-688.3839430362726,4730.6016308119515,58,57.1015625,128,0,128,0.0,1.0,2560,921,1639,0.359765625,0.640234375,-32.587400276813625,297.32613966830803,938.2770719768689,93.82770719768688,112.75297107344609,0.5,2218.387138055113
64,4029.7054382894594,4560.798724023122,203.67277191447292,-213.42228882799,4260.727782450352,60,56.4296875,128,0,128,0.0,1.0,2560,957,1603,0.373828125,0.626171875,-8.927864441399503,271.77590303064477,1408.425998053303,140.84259980533028,156.82385303760262,0.7,2218.387138055113
65,4092.1903177114614,4560.798724023122,206.74401588557308,-347.2462039898654,4384.510373838555,58,56.5546875,128,0,128,0.0,1.0,2560,967,1593,0.377734375,0.622265625,-15.50509535574327,278.70766515682163,413.81595403829033,41.38159540382903,158.06448346263232,0.4,2218.387138055113
66,4175.247722121789,4560.798724023122,211.16688610608944,-163.10667819517937,3587.81375134535,60,57.9140625,128,0,128,0.0,1.0,2560,913,1647,0.356640625,0.643359375,-6.4194237535089655,230.09770459838296,1854.6624288766152,185.4662428876615,106.61576334996589,0.8,2218.387138055113
67,4001.535756515998,4560.798724023122,202.2642878257999,112.69883881241589,3665.2466000806353,60,58.671875,128,0,128,0.0,1.0,2560,956,1604,0.3734375,0.6265625,7.465481003120795,233.32867345930032,1504.7891196259172,150.4789119625917,152.0672692556923,0.7,2218.387138055113
68,3958.788949000775,4560.798724023122,199.98294745003872,-90.30539703790907,4267.957163404441,60,59.1796875,128,0,128,0.0,1.0,2560,997,1563,0.389453125,0.610546875,-2.6637112581454487,274.2911049237041,684.9097111740945,68.49097111740944,143.5548316301425,0.4,2218.387138055113
69,4573.76358878351,4573.76358878351,231.10517943917552,-24.097618490286834,3918.8296831943912,60,58.6953125,128,0,128,0.0,1.0,2560,971,1589,0.379296875,0.620703125,0.5912089192356632,247.1188708884388,1714.0620858656912,171.4062085865691,132.04050603663956,0.8,2218.387138055113
70,4169.155210551866,4573.76358878351,211.0252605275933,187.56092214836477,3315.424642486703,60,58.5,128,0,128,0.0,1.0,2560,1005,1555,0.392578125,0.607421875,11.228401576168238,222.25718114903967,1060.5336277267634,106.05336277267634,130.61910355202895,0.4,2218.387138055113
71,4395.049111489213,4573.76358878351,222.09045557446066,-327.67296951245754,4311.154758530015,60,58.0078125,128,0,128,0.0,1.0,2560,974,1586,0.38046875,0.61953125,-14.659113319372874,259.45633989005836,1376.0136574713936,137.60136574713937,150.3619698655645,0.5,2218.387138055113
72,3858.3638537899037,4573.76358878351,195.49469268949514,-318.9001025806421,4684.378156505647,61,57.8125,128,0,128,0.0,1.0,2560,986,1574,0.38515625,0.61484375,-14.081122316532099,296.8422069617525,519.674570414722,51.9674570414722,130.8445434947769,0.3,2218.387138055113
73,3782.3644436929962,4573.76358878351,191.54022218464985,-311.18214785154584,4066.8270165756194,60,59.6015625,128,0,128,0.0,1.0,2560,947,1613,0.369921875,0.630078125,-13.744193330077286,274.02107898949237,1559.8767451173724,155.98767451173723,153.41246229654382,0.7,2218.387138055113
74,4068.1374211255297,4573.76358878351,205.9988710562765,-492.974940639432,4572.594909238686,60,59.546875,128,0,128,0.0,1.0,2560,900,1660,0.3515625,0.6484375,-22.9224189069716,289.19392508399716,1316.8411817134358,131.6841181713436,132.21193768594432,0.6,2218.387138055113
75,4316.761446044217,4573.76358878351,217.6875723022108,-105.95991088278956,3631.050436405183,58,59.59375,128,0,128,0.0,1.0,2560,922,1638,0.36015625,0.63984375,-3.494995544139479,238.03434029012953,1070.055307092208,107.0055307092208,136.48172738880143,0.5,2218.387138055113
76,4023.991615207447,4573.76358878351,203.3455807603724,27.602821388369648,3845.7184697616226,60,58.9140625,128,0,128,0.0,1.0,2560,1003,1557,0.391796875,0.608203125,3.232082475668477,250.36816786869522,1321.8491158459683,132.18491158459682,127.45501946051124,0.6,2218.387138055113
77,4266.787623044831,4573.76358878351,215.4288811522416,-165.48301118538325,4840.077973061143,59,58.03125,128,0,128,0.0,1.0,2560,1001,1559,0.391015625,0.608984375,-6.429349778019146,292.1100457894397,2155.452987378565,215.54529873785646,110.36169187301495,0.8,2218.387138055113
78,4365.959532667097,4573.76358878351,220.67697663335485,-888.7932599679077,5432.5170515179625,50,57.5703125,128,0,128,0.0,1.0,2560,904,1656,0.353125,0.646875,-42.68594424839538,347.8232208898026,1185.77932117094,118.577932117094,132.52010377903795,0.5,2218.387138055113
79,4410.589830714627,4573.76358878351,222.8544915357314,-570.0678837295563,4850.439259311255,50,56.015625,128,0,128,0.0,1.0,2560,925,1635,0.361328125,0.638671875,-26.76249574897783,295.81490181412795,2394.9460842327544,239.49460842327548,94.6923317224206,0.9,2394.9460842327544
