generation,kept_optimized,raw_score,optimized_score,delta
10,True,-463.87700047051817,-463.87700047051817,0.0
20,False,266.5464782681034,-31.149477379780834,-297.6959556478842
30,True,1010.2182583847193,1021.558376180728,11.340117796008713
40,True,-11.113441626376854,157.64873045615684,168.7621720825337
50,False,1279.3067692234097,797.7981268434665,-481.5086423799431
60,True,2061.228726873329,2299.912236554941,238.68350968161212
70,False,875.327475169182,710.1217415631426,-165.20573360603942
80,True,1415.4856138849266,1765.9433388387426,350.45772495381607
90,True,2062.342650331273,2064.4707474739994,2.1280971427263466
100,True,1947.2179631669178,1987.9584703771168,40.740507210198984
110,False,2292.6545862149133,-5694.25174452684,-7986.906330741754
120,False,2641.078734448059,-6284.518323998165,-8925.597058446225
130,False,952.0839567140208,-5313.986664849048,-6266.070621563069
140,True,2126.344403673537,2134.049402952723,7.704999279186268
150,False,1646.3774224339447,1474.1017113709718,-172.27571106297296
160,False,1150.277806435031,-5698.022304238548,-6848.300110673579
170,False,2044.6083178939693,-5552.254400675649,-7596.862718569619
180,False,2181.937089677034,-6620.77874180605,-8802.715831483083
190,True,1311.133121027178,1537.2437557939431,226.1106347667651
200,False,2093.9193951183643,2010.613377595058,-83.30601752330631
