episode,seed,run,score,steps,terminated,truncated,crashed,survived
1,1661870884,Placeholder baseline,198.90703085041304,392,True,False,False,True
1,1661870884,Final model,219.37549909792295,285,True,False,False,True
2,1529512266,Placeholder baseline,136.87862501065695,500,False,False,False,True
2,1529512266,Final model,243.55115516726931,242,True,False,False,True
3,1459163868,Placeholder baseline,-45.3978827878438,83,True,False,True,False
3,1459163868,Final model,259.35247486126093,274,True,False,False,True
4,177231730,Placeholder baseline,76.0712898628454,500,False,False,False,True
4,177231730,Final model,282.78039878630136,213,True,False,False,True
5,1953222876,Placeholder baseline,-59.98210590541875,94,True,False,True,False
5,1953222876,Final model,-3.102699754733834,127,True,False,True,False
6,1468839870,Placeholder baseline,124.39691892044759,500,False,False,False,True
6,1468839870,Final model,271.02021651083635,252,True,False,False,True
7,962260775,Placeholder baseline,242.50910737536455,228,True,False,False,True
7,962260775,Final model,175.2110230668556,275,True,False,False,True
8,1670121391,Placeholder baseline,-53.809965489182815,96,True,False,True,False
8,1670121391,Final model,289.1666082325853,235,True,False,False,True
9,801632304,Placeholder baseline,120.54321297502703,500,False,False,False,True
9,801632304,Final model,285.0018635556169,209,True,False,False,True
10,115164735,Placeholder baseline,118.88719292539734,500,False,False,False,True
10,115164735,Final model,245.10164196829032,289,True,False,False,True
11,52971997,Placeholder baseline,-56.896032166306675,77,True,False,True,False
11,52971997,Final model,12.048732642867051,146,True,False,True,False
12,2039244427,Placeholder baseline,188.42650246559782,415,True,False,False,True
12,2039244427,Final model,256.63313675905033,190,True,False,False,True
13,60366898,Placeholder baseline,75.39771744699661,500,False,False,False,True
13,60366898,Final model,281.0720189726636,211,True,False,False,True
14,1724391306,Placeholder baseline,-89.40161595645752,116,True,False,True,False
14,1724391306,Final model,140.15358561990107,500,False,False,False,True
15,1401041133,Placeholder baseline,1.992902406685559,74,True,False,True,False
15,1401041133,Final model,123.68760657115466,500,False,False,False,True
16,1798855331,Placeholder baseline,131.2718545652345,500,False,False,False,True
16,1798855331,Final model,290.7794646006239,186,True,False,False,True
17,1801081210,Placeholder baseline,279.00008282375063,378,True,False,False,True
17,1801081210,Final model,290.0534345507037,181,True,False,False,True
18,542116709,Placeholder baseline,-167.63611448614515,414,True,False,True,False
18,542116709,Final model,258.90047174244614,233,True,False,False,True
19,1434334208,Placeholder baseline,193.4417848824641,392,True,False,False,True
19,1434334208,Final model,214.16204919918397,352,True,False,False,True
20,1452168337,Placeholder baseline,-105.65526503926631,89,True,False,True,False
20,1452168337,Final model,270.53230817604924,221,True,False,False,True
