generation,fitness,tree_size
0,-1749.5414810929435,15
1,-1749.5414810929435,25
2,-1658.9297864777586,15
3,-951.5308303602446,15
4,-951.5308303602446,25
5,-931.865090488335,27
6,-927.8890961248624,27
7,-915.2289559584046,33
8,-697.9878023771988,46
9,-697.9878023771988,32
10,-693.1942956639514,46
11,-646.2644290157428,46
12,-472.37380814873103,46
13,-472.37380814873103,46
14,-459.17707593661993,60
15,-436.6374314010148,48
16,-431.2927927161354,33
17,-383.2038882134956,48
18,-383.2038882134956,48
19,-380.38525025822094,48
20,-380.38525025822094,48
21,-362.7687270446247,48
22,-362.7687270446247,48
23,-187.33556497278585,48
24,-187.33556497278585,48
25,-187.33556497278585,58
26,-81.98846328286737,48
27,-81.98846328286737,48
28,144.6322824645238,49
29,144.6322824645238,49
30,144.6322824645238,49
31,234.5936046730946,50
32,235.385790225961,50
33,235.385790225961,50
34,235.385790225961,50
35,235.385790225961,50
