generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1635.4768214470923,-7942.420542446553,4216.511379145096,13,15.40625,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-529.4947028297703,489.49612792948375
1,-1634.2978257256796,-3594.0307418096513,2439.177008554103,15,18.1484375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-239.60204945397672,237.641746298213
2,60.42524377451937,-3100.4754569656843,2557.959094298759,22,18.8515625,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-206.6983637977123,205.24729450912167
3,103.24218315064152,-2791.3044480084827,2692.7131070636624,22,17.890625,128,0,128,0.0,1.0,1920,18,1902,0.009375,0.990625,-186.08696320056552,215.964873482867
4,229.33850380353292,-2082.4676129989384,2050.512004593066,22,20.4609375,128,0,128,0.0,1.0,1920,40,1880,0.020833333333333332,0.9791666666666666,-138.83117419992922,164.7907198580591
5,444.3521326340337,-2055.046998993152,3371.776208199552,26,22.9140625,128,0,128,0.0,1.0,1920,129,1791,0.0671875,0.9328125,-137.00313326621014,298.76129300252666
6,564.9088598807381,-1683.952684382324,2804.02196328101,22,24.25,128,0,128,0.0,1.0,1920,166,1754,0.08645833333333333,0.9135416666666667,-112.26351229215494,222.36344347803617
7,789.6468436985307,-1419.0930618623963,3141.3249978010454,38,24.546875,128,0,128,0.0,1.0,1920,226,1694,0.11770833333333333,0.8822916666666667,-94.60620412415977,270.567094785052
8,944.5519121742403,-1621.3712202494926,3296.342180857042,54,27.203125,128,0,128,0.0,1.0,1920,273,1647,0.1421875,0.8578125,-108.0914146832995,293.9636885069482
9,944.5519121742403,-1821.2024169397362,3278.992641488104,54,30.8984375,128,0,128,0.0,1.0,1920,363,1557,0.1890625,0.8109375,-121.41349446264908,262.2718773755071
10,1337.1879460604002,-1486.6676130612063,3397.6699578005946,54,39.546875,128,0,128,0.0,1.0,1920,551,1369,0.2869791666666667,0.7130208333333333,-99.11117420408043,279.0788571987506
11,1578.6678253580876,-1196.1799103084916,2859.3489976849896,54,50.265625,128,0,128,0.0,1.0,1920,609,1311,0.3171875,0.6828125,-79.74532735389946,227.1581094533323
12,1578.6678253580876,-1502.3526779971153,3533.0916838453804,54,51.8828125,128,0,128,0.0,1.0,1920,654,1266,0.340625,0.659375,-100.15684519980769,275.33909174514815
13,1578.6678253580876,-830.0475909499203,2998.152141877535,54,52.3515625,128,0,128,0.0,1.0,1920,743,1177,0.38697916666666665,0.6130208333333333,-55.33650606332801,235.56066939257582
14,2031.0460089234664,-941.6459644942236,3199.888955285626,54,52.0390625,128,0,128,0.0,1.0,1920,754,1166,0.3927083333333333,0.6072916666666667,-62.77639763294824,261.92286114332285
15,2031.0460089234664,-1115.2182710798106,3608.0088339382496,54,53.5625,128,0,128,0.0,1.0,1920,724,1196,0.3770833333333333,0.6229166666666667,-74.34788473865405,301.3679945253022
16,2031.0460089234664,-1224.3471507220556,3946.0653974515744,54,52.578125,128,0,128,0.0,1.0,1920,784,1136,0.4083333333333333,0.5916666666666667,-81.62314338147036,314.2766428884242
17,2031.0460089234664,-245.5716375906978,2963.367543499411,54,53.96875,128,0,128,0.0,1.0,1920,876,1044,0.45625,0.54375,-16.371442506046517,245.42145792934502
18,2031.0460089234664,-649.7750048710695,3232.198136425634,54,53.28125,128,0,128,0.0,1.0,1920,843,1077,0.4390625,0.5609375,-43.3183336580713,253.6337416655621
19,2031.0460089234664,-633.2376574637289,3277.1887340158837,54,51.765625,128,0,128,0.0,1.0,1920,856,1064,0.44583333333333336,0.5541666666666667,-42.21584383091525,273.16574488448737
20,2040.9681639921753,-715.6938359693838,3352.1695769391786,54,52.484375,128,0,128,0.0,1.0,1920,853,1067,0.44427083333333334,0.5557291666666667,-47.71292239795891,262.0957246936658
21,2044.6528126463825,-169.14803207382963,3374.7873599806585,54,52.9375,128,0,128,0.0,1.0,1920,1018,902,0.5302083333333333,0.46979166666666666,-11.276535471588637,271.60532904639086
22,2044.6528126463825,-1011.8657110173156,4094.6583284322887,54,51.2734375,128,0,128,0.0,1.0,1920,865,1055,0.4505208333333333,0.5494791666666666,-67.45771406782104,326.2337996984492
23,2044.6528126463825,-544.4477755960827,3526.350441556535,54,51.703125,128,0,128,0.0,1.0,1920,909,1011,0.4734375,0.5265625,-36.29651837307217,279.5427428916911
24,2044.6528126463825,-1178.8422890679471,3895.714520064219,54,52.1953125,128,0,128,0.0,1.0,1920,783,1137,0.4078125,0.5921875,-78.58948593786313,312.96046610748186
25,2044.6528126463825,-715.559482350125,3727.501915379449,54,52.609375,128,0,128,0.0,1.0,1920,897,1023,0.4671875,0.5328125,-47.70396549000832,297.2993997885805
26,2049.4238159720317,-580.6899263530056,3607.803221037314,54,52.5703125,128,0,128,0.0,1.0,1920,936,984,0.4875,0.5125,-38.71266175686703,277.9552933135961
27,2049.4238159720317,-948.6020926243658,3993.432110270491,54,52.0859375,128,0,128,0.0,1.0,1920,848,1072,0.44166666666666665,0.5583333333333333,-63.24013950829104,329.7359735861967
28,2051.639352096883,-489.38736972466114,3080.5142440977293,54,53.609375,128,0,128,0.0,1.0,1920,844,1076,0.4395833333333333,0.5604166666666667,-32.62582464831074,237.35377902123417
29,2051.639352096883,-413.4536095885501,3581.831080070228,54,53.2109375,128,0,128,0.0,1.0,1920,952,968,0.49583333333333335,0.5041666666666667,-27.563573972569998,295.3630853239507
30,2051.639352096883,-429.8334596546789,3475.4083750533814,54,52.9140625,128,0,128,0.0,1.0,1920,929,991,0.48385416666666664,0.5161458333333333,-28.65556397697859,279.8035670860041
31,2059.8406525484597,-555.4865447472466,3270.3651648435452,54,53.0859375,128,0,128,0.0,1.0,1920,866,1054,0.4510416666666667,0.5489583333333333,-37.0324363164831,248.13808422722025
32,2059.8406525484597,-566.5427338164363,3632.862015602753,54,52.4296875,128,0,128,0.0,1.0,1920,914,1006,0.47604166666666664,0.5239583333333333,-37.76951558776241,291.5483074864853
33,2059.8406525484597,145.62046113006463,3028.701961926161,54,53.9296875,128,0,128,0.0,1.0,1920,1095,825,0.5703125,0.4296875,9.708030742004324,237.0691442798495
34,2059.8406525484597,-216.88938378536253,3684.37208607908,54,52.7265625,128,0,128,0.0,1.0,1920,992,928,0.5166666666666667,0.48333333333333334,-14.459292252357502,311.13774490329695
35,2059.8406525484597,-1181.7744478679106,3919.1659268434814,54,53.3125,128,0,128,0.0,1.0,1920,830,1090,0.4322916666666667,0.5677083333333334,-78.78496319119404,299.4679584756504
36,2059.8406525484597,-232.50653594699298,3443.0017207454425,54,53.2734375,128,0,128,0.0,1.0,1920,980,940,0.5104166666666666,0.4895833333333333,-15.500435729799518,269.37014531779323
37,2059.8406525484597,-797.9283227945772,3728.6003464832006,54,53.4140625,128,0,128,0.0,1.0,1920,872,1048,0.45416666666666666,0.5458333333333333,-53.19522151963848,312.30591778802875
38,2076.1208658328333,-636.0408144906719,3586.2617887231254,54,53.3359375,128,0,128,0.0,1.0,1920,882,1038,0.459375,0.540625,-42.40272096604478,280.71188161938085
39,2076.1208658328333,-255.5893396656875,3192.5748906500885,54,53.3203125,128,0,128,0.0,1.0,1920,935,985,0.4869791666666667,0.5130208333333334,-17.039289311045827,256.36752864596946
40,2076.1208658328333,-428.7187672850495,3467.6024843575037,54,53.109375,128,0,128,0.0,1.0,1920,965,955,0.5026041666666666,0.4973958333333333,-28.58125115233663,274.5665391047545
41,2076.1208658328333,-445.3474517069168,3398.299848434715,54,53.25,128,0,128,0.0,1.0,1920,926,994,0.4822916666666667,0.5177083333333333,-29.689830113794436,280.24038457288964
42,2076.1208658328333,-481.08160167032725,3819.828178555768,54,53.1953125,128,0,128,0.0,1.0,1920,998,922,0.5197916666666667,0.48020833333333335,-32.07210677802181,304.688025944903
43,2076.1208658328333,-190.08341881616164,3239.225563300971,54,53.296875,128,0,128,0.0,1.0,1920,985,935,0.5130208333333334,0.4869791666666667,-12.672227921077432,258.6258128000012
44,2076.1208658328333,-854.3319704910342,3805.911074209412,54,52.453125,128,0,128,0.0,1.0,1920,850,1070,0.4427083333333333,0.5572916666666666,-56.95546469940228,314.18993974640483
45,2114.08064434941,-992.5535519476157,4243.432316956164,54,51.7578125,128,0,128,0.0,1.0,1920,903,1017,0.4703125,0.5296875,-66.17023679650772,355.9337683263176
46,2114.08064434941,352.80957121047174,2401.178802078993,54,53.7578125,128,0,128,0.0,1.0,1920,1052,868,0.5479166666666667,0.45208333333333334,23.520638080698124,197.0082811367149
47,2114.08064434941,-34.7333264973407,3166.5846893797147,54,53.828125,128,0,128,0.0,1.0,1920,1048,872,0.5458333333333333,0.45416666666666666,-2.3155550998227037,254.01200923505507
48,2114.5510206733193,130.08922292084537,3025.6136860017386,54,54.328125,128,0,128,0.0,1.0,1920,1049,871,0.5463541666666667,0.45364583333333336,8.672614861389702,234.56340066260378
49,2114.5510206733193,-226.82792071281122,3467.1544797950532,54,53.9765625,128,0,128,0.0,1.0,1920,983,937,0.5119791666666667,0.48802083333333335,-15.121861380854073,281.4275738743377
50,2114.5510206733193,-225.26338557188478,3421.238189113459,54,54.375,128,0,128,0.0,1.0,1920,973,947,0.5067708333333333,0.49322916666666666,-15.017559038125649,279.2739000565612
