generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1874.7556557020869,-6917.956124114489,3854.680032572943,17,15.4765625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-461.197074940966,408.3708543524337
1,-1580.1975369366232,-3175.824096129314,2243.9627983536698,16,17.6484375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-211.72160640862091,213.1055754561115
2,-1580.1975369366232,-2814.8683208508173,2392.0824651445364,16,20.0078125,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-187.65788805672116,223.07110566607676
3,-1574.3226189342497,-2415.0765947236937,1451.7620368809569,19,20.640625,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-161.00510631491292,117.05838987538978
4,-1437.4726313517003,-2476.0222464473836,1962.8321989866727,27,21.71875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-165.0681497631589,144.86716307046632
5,-1388.284127017245,-2536.0576582542926,2020.6612142328338,27,23.328125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-169.07051055028614,148.39661325273238
6,-951.3892966314156,-2541.2104959012595,2121.1770960902213,24,27.0,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-169.41403306008397,178.27629833550202
7,-633.6585412466793,-2194.329493211441,1894.7577783942363,22,30.9453125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-146.2886328807627,165.63484791925404
8,-627.8172363319195,-2317.384990427231,2316.1114566974566,22,30.4296875,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-154.49233269514875,215.47663302948249
9,-620.3041112679399,-1837.6898771849746,2205.0470524570565,30,27.859375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-122.51265847899828,167.24426985533876
10,-612.5473249847322,-2223.8440643344043,2779.303002666266,32,27.7109375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-148.25627095562692,213.9865683425318
11,-601.7808922714669,-2476.333736254841,3032.272790270215,28,26.40625,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-165.08891575032274,232.5756285896345
12,-554.8618949965938,-1859.5315190272859,2492.899804114996,44,29.5859375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-123.96876793515243,186.5511535306585
13,-168.67909809757342,-2273.8096313727265,2914.1528706868685,28,31.5703125,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-151.58730875818176,236.58987347047915
14,360.7251205312573,-2121.78187475213,2752.056472877741,28,34.6328125,128,0,128,0.0,1.0,1920,9,1911,0.0046875,0.9953125,-141.4521249834753,210.73945627815965
15,360.7251205312573,-1427.3475945300515,2042.7486552938194,28,37.46875,128,0,128,0.0,1.0,1920,64,1856,0.03333333333333333,0.9666666666666667,-95.15650630200344,152.2103487383321
16,361.7716233647084,-1734.307405702176,2918.0346957843417,28,33.4765625,128,0,128,0.0,1.0,1920,199,1721,0.10364583333333334,0.8963541666666667,-115.6204937134784,218.264384886544
17,361.7716233647084,-1445.7135456127173,2906.062485887819,28,34.1171875,128,0,128,0.0,1.0,1920,307,1613,0.15989583333333332,0.8401041666666667,-96.38090304084781,218.97308939162335
18,410.504891190894,-1538.1096741847123,2771.7837342482976,34,33.671875,128,0,128,0.0,1.0,1920,265,1655,0.13802083333333334,0.8619791666666666,-102.54064494564749,210.44161741682944
19,605.7993033028226,-976.3033067856809,2555.354900072682,36,35.2578125,128,0,128,0.0,1.0,1920,361,1559,0.18802083333333333,0.8119791666666667,-65.08688711904539,197.8881300334314
20,608.3558269930041,-1206.313659255088,2566.551862015193,36,35.2421875,128,0,128,0.0,1.0,1920,373,1547,0.19427083333333334,0.8057291666666667,-80.42091061700587,205.23411166105436
21,1071.049660049695,-1204.8097918607887,2879.6926787045136,46,37.96875,128,0,128,0.0,1.0,1920,425,1495,0.22135416666666666,0.7786458333333334,-80.32065279071925,229.25101919614045
22,1071.049660049695,-1455.5398654822125,3097.8737114369887,46,39.5625,128,0,128,0.0,1.0,1920,403,1517,0.20989583333333334,0.7901041666666667,-97.03599103214749,253.32818202922633
23,1265.829759443257,-838.0498439236467,2595.520505638656,35,41.6796875,128,0,128,0.0,1.0,1920,553,1367,0.28802083333333334,0.7119791666666667,-55.86998959490977,235.40579960466164
24,1265.829759443257,-1013.2541399991791,2948.1950570643835,35,43.4765625,128,0,128,0.0,1.0,1920,545,1375,0.2838541666666667,0.7161458333333334,-67.55027599994527,259.03514057611517
25,1509.957380665001,-478.5770362975086,2870.081387951238,55,46.0078125,128,0,128,0.0,1.0,1920,615,1305,0.3203125,0.6796875,-31.905135753167244,224.7014602370573
26,1816.6085354289025,-83.15964465568902,2365.083419406732,35,46.8125,128,0,128,0.0,1.0,1920,674,1246,0.35104166666666664,0.6489583333333333,-5.543976310379264,207.92930086436027
27,1886.4695758974558,-74.82247537828674,2837.5333774913242,59,47.9921875,128,0,128,0.0,1.0,1920,739,1181,0.3848958333333333,0.6151041666666667,-4.988165025219114,239.57450806027504
28,2640.7448398287675,211.0782760468503,2449.795708695025,35,47.5625,128,0,128,0.0,1.0,1920,794,1126,0.41354166666666664,0.5864583333333333,14.071885069790026,213.37595988744127
29,2945.8521648041888,400.27749500029176,2608.997518596,35,46.5546875,128,0,128,0.0,1.0,1920,916,1004,0.47708333333333336,0.5229166666666667,26.685166333352793,208.52916148059663
30,2999.5948548012966,451.0355328076512,3112.657120579095,40,41.5546875,128,0,128,0.0,1.0,1920,922,998,0.48020833333333335,0.5197916666666667,30.069035520510088,248.06085231241542
31,2999.5948548012966,574.1591808076316,3087.369540194001,40,37.8359375,128,0,128,0.0,1.0,1920,992,928,0.5166666666666667,0.48333333333333334,38.27727872050878,261.6909176887036
32,3022.2914055300066,123.98875726759493,3663.0469893863865,35,38.6953125,128,0,128,0.0,1.0,1920,947,973,0.49322916666666666,0.5067708333333333,8.265917151172996,334.69998351982736
33,3022.2914055300066,564.5834168763902,3029.7499702191776,35,41.1640625,128,0,128,0.0,1.0,1920,952,968,0.49583333333333335,0.5041666666666667,37.638894458426016,252.36591827991046
34,3068.78924227851,727.7293890860711,3175.4992857538264,45,42.1328125,128,0,128,0.0,1.0,1920,1012,908,0.5270833333333333,0.47291666666666665,48.51529260573808,281.7206364814545
35,3181.523228766423,763.0589107950956,3216.523855767969,35,43.984375,128,0,128,0.0,1.0,1920,1014,906,0.528125,0.471875,50.87059405300638,255.78957662940823
36,3217.8147651176164,151.93079017542908,4088.6923396088605,42,41.7578125,128,0,128,0.0,1.0,1920,987,933,0.5140625,0.4859375,10.128719345028605,335.6587250070958
37,3327.300971318534,679.4689167381503,3168.1385922698587,45,43.0,128,0,128,0.0,1.0,1920,981,939,0.5109375,0.4890625,45.29792778254335,252.3224840576555
