generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1941.1204230077706,-7349.109794316357,3896.5822556484654,15,15.8671875,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-489.9406529544238,439.7372496809084
1,-1941.1204230077706,-3302.608051571291,2343.200071261836,15,17.2109375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-219.3252763547528,217.92622173607697
2,-1669.8073332304125,-2792.1956722307805,1748.8114206311693,19,19.6953125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-185.30705523205202,142.41234633925632
3,-1613.2146656755028,-2988.9464943493913,2259.203753434307,25,22.0390625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-198.4169017066261,168.549781896442
4,-1611.3443517333794,-2558.360969951309,1874.2751087108318,22,24.9140625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-169.70906466342063,150.34941690768588
5,-1497.6470425272428,-2506.472857422049,2061.1914063349464,19,21.5625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-166.25475299480325,156.81063853181993
6,-1497.6470425272428,-2667.3691080488034,2481.87544453401,19,21.0859375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-176.93893011992023,212.36336277301606
7,-1476.1733444386932,-2426.8251494688957,1918.9053414674343,19,21.5859375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-160.88141621459303,160.11595884629463
8,-235.30457569540908,-2929.7743712936935,2994.4401864933393,19,22.7421875,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-194.43922891957956,234.11249262365402
9,-235.30457569540908,-2893.055783140271,3055.1616169630174,19,21.7734375,128,0,128,0.0,1.0,1920,13,1907,0.0067708333333333336,0.9932291666666667,-192.00429179268474,239.54728714630212
10,561.6326048397136,-2546.7341255930946,3073.705314660642,15,22.1796875,128,0,128,0.0,1.0,1920,49,1871,0.025520833333333333,0.9744791666666667,-168.964358372873,240.95053219680986
11,561.6326048397136,-1796.0033235231626,2368.349772556356,15,21.1328125,128,0,128,0.0,1.0,1920,123,1797,0.0640625,0.9359375,-118.99574240154419,213.03021748662107
12,586.6294712358207,-1500.1323519267182,2339.863113328143,15,20.96875,128,0,128,0.0,1.0,1920,201,1719,0.1046875,0.8953125,-99.19272971178121,220.80302100383932
13,664.9218909018662,-1367.3817322080308,2426.5983879737255,15,21.9453125,128,0,128,0.0,1.0,1920,255,1665,0.1328125,0.8671875,-90.35456339720206,215.47033636081287
14,791.164465067023,-1295.3903530440825,2731.790289147115,15,22.09375,128,0,128,0.0,1.0,1920,289,1631,0.15052083333333333,0.8494791666666667,-85.55883603627218,238.72035455081877
15,791.164465067023,-1430.5127983068614,2900.7786071445817,15,22.5,128,0,128,0.0,1.0,1920,298,1622,0.15520833333333334,0.8447916666666667,-94.58257197045744,246.94820062141727
16,810.8066975001544,-2077.9446233214567,3438.912280100155,31,20.2421875,128,0,128,0.0,1.0,1920,267,1653,0.1390625,0.8609375,-137.71287072143045,297.36715168234355
17,810.8066975001544,-1497.1794737441976,3041.50321444943,31,22.2265625,128,0,128,0.0,1.0,1920,305,1615,0.15885416666666666,0.8411458333333334,-99.04660033294653,259.0032545470337
18,816.8997726267642,-1387.5407978624119,3001.675773423737,38,23.9140625,128,0,128,0.0,1.0,1920,326,1594,0.16979166666666667,0.8302083333333333,-91.63912610749412,280.130434022685
19,894.3928332619241,-751.127225111051,2236.201193008847,21,29.390625,128,0,128,0.0,1.0,1920,380,1540,0.19791666666666666,0.8020833333333334,-49.206502507403414,206.2696424858661
20,907.3621499175161,-1134.5556960638226,2786.8416916402207,21,33.3203125,128,0,128,0.0,1.0,1920,345,1575,0.1796875,0.8203125,-74.7951193209215,237.94163754890667
21,907.3621499175161,-862.9071132659725,2902.8816002238364,21,35.25,128,0,128,0.0,1.0,1920,396,1524,0.20625,0.79375,-56.7965679677315,245.8723022731893
22,909.7293070613364,-1250.305482475996,3113.942062849177,37,31.4609375,128,0,128,0.0,1.0,1920,344,1576,0.17916666666666667,0.8208333333333333,-82.52562591506643,264.51712503521946
23,914.9838124371076,-1697.1016187936893,3442.2442472347616,52,29.7265625,128,0,128,0.0,1.0,1920,320,1600,0.16666666666666666,0.8333333333333334,-112.30880583624598,280.0255010606814
24,917.8611049430015,-1395.6983454085266,3126.8750032591984,22,31.078125,128,0,128,0.0,1.0,1920,337,1583,0.17552083333333332,0.8244791666666667,-92.22233761056847,257.43227655628857
25,935.5121770618241,-1380.4910103781226,3166.0569281903854,21,32.1875,128,0,128,0.0,1.0,1920,328,1592,0.17083333333333334,0.8291666666666667,-91.28637985854151,254.58445372858
26,935.5121770618241,-1416.770973630319,3178.5250076748866,21,31.1328125,128,0,128,0.0,1.0,1920,317,1603,0.16510416666666666,0.8348958333333333,-93.61118990868793,255.1036350127309
27,936.8843532860401,-1214.297376600357,3232.1484721211536,57,28.171875,128,0,128,0.0,1.0,1920,350,1570,0.18229166666666666,0.8177083333333334,-80.0764396900238,261.5933815625066
