generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1916.5636504209342,-7641.524912613924,4572.384334471398,16,16.2890625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-509.4349941742616,513.759430680839
1,-1849.5582252698696,-3641.7810217787214,2459.386322697586,15,17.9140625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-242.7184222852481,231.2885555123611
2,-1745.3303098540503,-2801.584443014968,1790.0889672218639,18,18.9765625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-186.70224411766455,160.86185331694077
3,-1704.109195824906,-3082.937831248548,2227.6014533363,17,19.109375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-205.46059499990318,199.55694510997802
4,-1499.7913337822772,-2976.39358130868,1949.083319588639,16,20.4140625,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-198.36144708724535,202.84854204751295
5,-1499.7913337822772,-2773.8757391879026,2270.7004280101273,16,21.296875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-184.85645552919354,206.79251973670515
6,-1348.7857334561054,-2126.46404989877,1033.437080003333,22,21.5,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-141.693436659918,104.75949108951228
7,-1185.8553043509255,-2505.2558643079274,2721.1662757371028,16,21.8046875,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-166.9440888705285,247.716057016923
8,-1185.8553043509255,-2218.2294295135207,2007.6573670239459,16,23.8984375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-147.8110765509014,178.7585247624673
9,-1056.4344157571306,-1808.9754618323232,2004.5453995431062,18,23.5078125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-120.52862453882156,191.11259252917762
10,-1056.4344157571306,-1727.7269399643574,1380.079537246679,18,23.875,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-115.10788974762384,118.90682564515927
11,-1056.4344157571306,-1966.8028324156535,1733.6333072442185,18,23.5390625,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-131.04961591104356,150.3868223130532
12,-1046.8975626206677,-1838.5550715047386,1806.1291587397177,20,23.546875,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-122.49757768364925,145.95505371778077
13,-949.8219238976137,-1648.2742324001595,1472.6525946717331,16,23.3125,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-109.81114674334394,125.24196146205661
14,-949.8219238976137,-1672.610841685163,1746.205024098062,16,26.765625,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-111.44551444567755,140.27199871625098
15,-949.8219238976137,-1567.477269769182,1310.142670011473,29,30.2578125,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-104.4258284012788,110.49944408701792
16,-707.4202405694607,-1584.0071723223355,1691.368062885533,31,30.390625,128,0,128,0.0,1.0,1920,22,1898,0.011458333333333333,0.9885416666666667,-105.52990523815568,145.05012616869516
17,-620.6479261273187,-1919.9101737824817,1839.8319899966893,31,26.96875,128,0,128,0.0,1.0,1920,46,1874,0.023958333333333335,0.9760416666666667,-127.91338658549878,159.23602351451737
18,-653.7207595207552,-1475.4903865341148,1420.2164735077893,38,29.796875,128,0,128,0.0,1.0,1920,55,1865,0.028645833333333332,0.9713541666666666,-98.289619518941,128.18135974955558
19,-415.78846103704643,-1431.5658974371493,1821.8940102984934,31,33.03125,128,0,128,0.0,1.0,1920,17,1903,0.008854166666666666,0.9911458333333333,-95.35215357914328,148.30751877535914
20,-415.78846103704643,-1088.6125052950697,788.9195156886442,31,33.875,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-72.4977607696713,94.47589487584574
21,-293.72658347683273,-1092.1805428063235,1590.0702111796445,31,36.203125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-72.72896327042159,132.96340191212846
22,-246.72652960607212,-1077.4983042754852,1159.2350489435937,31,34.65625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-71.751605701699,129.12020230550104
23,-176.87228476787521,-1088.712962612556,1777.651357689183,25,33.2578125,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-72.49685375750374,151.15640684088893
24,-8.547820421326094,-931.468585326807,1165.128525106786,61,33.578125,128,0,128,0.0,1.0,1920,7,1913,0.0036458333333333334,0.9963541666666667,-62.00629110512047,113.91786085513573
25,28.040436174309278,-641.9106043729042,936.6282772525354,47,35.5078125,128,0,128,0.0,1.0,1920,30,1890,0.015625,0.984375,-42.683571541526945,97.91847623641993
26,28.040436174309278,-661.1219257794273,894.0654288324181,47,44.5078125,128,0,128,0.0,1.0,1920,55,1865,0.028645833333333332,0.9713541666666666,-43.982711718628494,102.65810010277217
27,44.38750667391592,-841.6172281374417,1362.997324161111,48,50.53125,128,0,128,0.0,1.0,1920,78,1842,0.040625,0.959375,-56.01599229249611,136.91619749915446
28,151.59875782819682,-818.2176635377568,1777.4959025906965,48,50.9921875,128,0,128,0.0,1.0,1920,80,1840,0.041666666666666664,0.9583333333333334,-54.443677569183784,148.95247876956242
29,237.65695795314844,-974.0414622078041,1910.8025247909716,47,51.3671875,128,0,128,0.0,1.0,1920,84,1836,0.04375,0.95625,-64.85109748052028,176.7647872223529
30,237.65695795314844,-657.9084638366026,1409.0820686895695,47,49.6796875,128,0,128,0.0,1.0,1920,109,1811,0.05677083333333333,0.9432291666666667,-43.772126755773506,131.07746974412555
31,248.35812953078454,-801.4972451803403,1573.546042431144,47,49.359375,128,0,128,0.0,1.0,1920,134,1786,0.06979166666666667,0.9302083333333333,-53.33731634535602,148.59249586799788
32,264.71626453687765,-653.6571208812038,1303.4154669973832,47,48.15625,128,0,128,0.0,1.0,1920,154,1766,0.08020833333333334,0.9197916666666667,-43.488755975413596,134.3420171177003
