generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1633.0825694491205,-7858.5668361529615,4368.783282674838,22,15.1640625,128,0,128,0.0,1.0,1920,8,1912,0.004166666666666667,0.9958333333333333,-523.9044557435307,513.6109612935093
1,-1559.213426574552,-3018.0410438250724,1753.7792739341562,13,15.1875,128,0,128,0.0,1.0,1920,10,1910,0.005208333333333333,0.9947916666666666,-200.41002792167146,167.0976854478925
2,-1559.213426574552,-2241.5569704457603,1328.511475145259,13,16.40625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-148.64911052971732,111.06003712071936
3,-1554.5621437989241,-2289.987949687861,1784.5530681487985,13,20.5234375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-151.8778424791907,142.22751840267418
4,-1441.4513271911296,-2107.7866925908497,1334.6934395376504,13,15.859375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-139.73109200605663,121.30372887861046
5,-1238.9116379677396,-2018.2144684440946,1432.6911537507788,15,14.2890625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-133.75961039627296,142.89981653217856
6,-895.2753327850393,-1639.7592261715756,397.28326359842646,25,16.2265625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-108.52821924477169,70.61585080016829
7,-895.2753327850393,-1786.4745353642625,1456.2383383133788,25,14.90625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-118.30403152428417,118.37511214500111
8,-854.9147377495102,-1693.3739362352298,1310.4867561019119,25,20.3046875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-112.097324915682,110.60563224583882
9,-829.9334454820038,-1178.6224632433098,632.6144930307304,29,25.0859375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-77.780560049554,64.5212114768261
10,-829.9334454820038,-1155.7392812508926,580.5267648850494,29,25.4375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-76.2529312500595,59.47208825538733
11,-792.0529689083007,-1196.8102471696402,731.1468920887055,28,27.3984375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-78.99099564464268,76.65540393262435
12,-792.0529689083007,-1046.126282671681,417.79808233745166,28,28.53125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-68.94591884477875,46.45017237228599
13,-792.0529689083007,-1081.1646128626137,596.218482162066,28,28.8984375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-71.28180752417425,61.17748066191137
14,-739.6025863546383,-1029.0734116985616,534.86030845123,29,28.6640625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-67.8090607799041,54.51511306713979
15,-726.709192338373,-999.4769774874351,541.1881429103569,28,28.28125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-65.83544433249568,58.03534507476662
16,-724.2063540720419,-1032.9281453985766,612.871338216778,28,28.3203125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-68.06604302657178,59.9309871255632
17,-724.2063540720419,-1109.1108765460217,698.6552095449938,28,29.1484375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-73.14489176973478,66.01031925255319
18,-724.2063540720419,-909.4003508246051,448.480958362397,28,28.53125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-59.830856721640345,48.017362489481094
19,-724.2063540720419,-1058.4145573940364,792.6155557995096,28,28.390625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-69.76513715960245,71.16207429508883
20,-724.2063540720419,-1008.7975742929773,623.0067380701906,55,29.1796875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-66.45733828619849,59.75394950794962
21,-724.2063540720419,-1059.361047282539,749.9119553404361,28,29.9453125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-69.8282364855026,69.42009937331954
22,-723.5437005102053,-932.5156932609789,441.0435651027066,27,29.609375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-61.371879550731926,48.803065698872025
23,-723.5437005102053,-1041.7957578343262,657.9027401552474,27,31.21875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-68.65773802228841,61.422853816577856
24,-685.9283931722985,-1082.5878443354836,694.8944877070928,27,29.1875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-71.37721045569891,65.52670279135405
25,-685.9283931722985,-1100.2498401765572,845.5233829158705,27,27.65625,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-72.60676017843716,79.6239292725714
26,-685.9283931722985,-950.1681975347985,485.52995678782577,27,27.5234375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-62.54923400231992,50.71399159367539
27,-685.9283931722985,-964.5111758582651,522.2168222146333,23,26.9296875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-63.505432557217674,56.84240443676832
28,-685.9283931722985,-983.809983471661,509.4111152882664,27,27.7890625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-64.79201973144407,54.70819607034283
29,-685.9283931722985,-999.9816971989372,709.2236831281582,27,28.6171875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-65.87013397992915,67.7061833428086
30,-685.9283931722985,-975.0859406059781,930.7306964543433,27,29.515625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-64.21041687373189,72.73596599215482
31,-685.9283931722985,-1002.9564143413384,784.1230822104673,27,28.8203125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-66.06844845608923,70.63722276067823
32,-685.9283931722985,-1142.4538135147245,1113.0142659884298,30,29.921875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-75.36827506764831,90.8440234784408
33,-685.9283931722985,-1002.8989732129282,777.3256800304993,27,30.1328125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-66.06461904752855,71.44480702955082
34,-685.9283931722985,-920.9248912432175,487.498296294601,27,30.859375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-60.59968024954783,53.42090710410334
35,-685.9283931722985,-959.4746365713595,727.4064772395459,27,31.8046875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-63.169663271423964,68.21184194797205
36,-685.9283931722985,-1113.9786931345964,1090.6004099195604,30,32.9296875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-73.46993370897309,87.67966270665013
37,-685.9283931722985,-911.9133111785875,391.6978069003768,28,33.890625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-59.998908245239164,49.23464773009009
38,-680.7694209431127,-925.881026571682,481.3449455114441,27,34.8125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-60.982172604778796,52.7033700887142
39,-680.7694209431127,-1068.5616399537012,1110.1922115184188,27,34.2578125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-70.44213016358007,84.97059336411391
40,-680.7694209431127,-1040.670078324767,662.4657802062835,27,32.5078125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-68.58269272165113,62.16124913484864
41,-680.7694209431127,-1055.077621125306,844.9736879846212,27,30.890625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-69.5431955750204,70.24052621289773
42,-680.7694209431127,-1175.3840776975142,1233.4387399331085,27,27.1796875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-77.56362601316759,97.41877360617424
43,-680.7694209431127,-993.5648007714733,687.90158441841,27,28.1640625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-65.44234088476489,60.498391897354324
44,-680.6845551016334,-1110.587350206659,1211.7348164964433,39,28.9375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-73.24384418044393,91.1066549256927
45,-680.6845551016334,-903.286479152767,581.6548313101636,39,30.40625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-59.41753611018448,54.630071771852336
46,-680.6845551016334,-1018.7499038315163,1050.8354938278346,39,35.1875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-67.11509775543442,82.02790953214266
47,-680.6845551016334,-1106.341473734219,1066.2356915118432,39,39.6015625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-72.95453574894792,83.47937692581196
48,-680.6845551016334,-983.0632157987285,727.8874737264805,43,38.9296875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-64.73598521991521,72.72585424912215
49,-680.6845551016334,-1002.0894437760153,698.6139644920712,39,39.8671875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-66.004400418401,65.33893860358228
50,-680.6845551016334,-949.674602617818,850.2296913992898,39,39.9765625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-62.51007767452119,72.74801453378213
51,-680.6845551016334,-1269.7135643784052,1325.3482329618103,41,40.3359375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-83.84600845856033,98.39144891450259
52,-680.6845551016334,-881.5655505666443,410.27737842491143,43,40.5078125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-57.96947420444295,46.394295171151406
53,-680.6845551016334,-898.8390064444866,425.2755250526175,39,40.578125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-59.12103792963242,46.38448061132965
54,-680.6845551016334,-968.9138361032144,653.3833961019728,37,39.203125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-63.79269324021429,59.71927927458756
55,-680.6845551016334,-954.4740573222191,592.8034287430288,40,40.1875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-62.83004132148126,57.92094265654882
56,-680.6845551016334,-896.9772163721411,464.8258489905468,42,40.4140625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-58.996918591476074,50.61357465644081
57,-680.6845551016334,-1026.9132424846514,781.7729813185753,35,40.890625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-67.65932033231009,68.89200397735891
58,-680.6845551016334,-1156.5385501898,1245.0137176041565,39,40.84375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-76.30100751265333,92.95802107302742
59,-680.6845551016334,-1060.1635806074933,905.7472475544645,43,40.46875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-69.87600954049952,77.10475957757012
60,-680.6845551016334,-899.1717110148226,516.991602271037,41,41.25,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-59.14321823432149,50.99241194448029
