generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1873.6166745272324,-6865.488826419907,3969.4794064626562,17,15.796875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-457.69925509466054,446.6352274908406
1,-1859.1538071794575,-3063.29801930966,1837.3333287149958,17,18.1328125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-203.38580545397735,150.19260565391374
2,-1676.965839391595,-2922.1553875559785,1944.7564457571716,14,19.4765625,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-193.97343208706522,173.90116789324253
3,-1457.7126076068832,-3138.7370496596905,2603.0409353023474,18,19.2890625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-208.41340747731272,217.66802762398646
4,-1113.8604335230839,-2842.6474166504886,2257.4359039035617,31,20.453125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-188.6691506933659,180.03422291824637
5,-606.0830574144316,-3466.72625991944,4082.4100725709,52,24.1171875,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-230.27451107796267,359.14163973832285
6,-549.6349924881785,-3004.751477677585,3202.058491822839,46,27.1328125,128,0,128,0.0,1.0,1920,8,1912,0.004166666666666667,0.9958333333333333,-199.4496818451724,272.1588009630078
7,-549.6349924881785,-2928.5346808286326,3371.1874548480146,46,33.625,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-194.38522872190885,287.6857861240508
8,-549.1037831964021,-3293.6320371075217,3773.75504242854,46,43.734375,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-218.71817747383477,335.39348517346673
9,-549.1037831964021,-2694.2426154951727,2995.6818442487365,46,46.390625,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-178.77398686634484,259.27059362443237
10,-527.8513977853999,-2654.3144561224312,3491.6698685452093,46,45.1953125,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-176.08471374149542,292.91503031683493
11,-527.8513977853999,-2796.909457002616,3371.2209588827172,49,45.5390625,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-185.60859921684107,270.2755499019671
12,-527.8513977853999,-3133.1032500197425,3460.575075616068,49,45.984375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-208.01167500131618,284.4647027734998
13,-508.34524968824314,-3146.231126518148,3681.184460601962,53,46.3828125,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-208.8935334345432,304.985911147363
14,-508.34524968824314,-3146.3976845186808,3780.3891549566965,53,46.90625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-208.90573105124537,300.85970208619847
15,-269.47782107511995,-2505.4581703439644,3205.2002598992385,53,49.4296875,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-166.18773218959765,273.7696345854234
16,-169.51264614340135,-2828.859656517821,3858.891920277,53,51.5078125,128,0,128,0.0,1.0,1920,23,1897,0.011979166666666667,0.9880208333333333,-187.73788335118806,333.420286161586
17,-169.51264614340135,-2482.3746821855702,3485.8557663629786,53,52.6171875,128,0,128,0.0,1.0,1920,49,1871,0.025520833333333333,0.9744791666666667,-164.645864229038,275.1043812402212
18,-169.51264614340135,-3055.364091003402,3642.0308166394,53,53.5234375,128,0,128,0.0,1.0,1920,64,1856,0.03333333333333333,0.9666666666666667,-202.84125190022678,300.6924252456137
19,-166.70836952862422,-2696.4887368538166,3456.3444010413987,53,54.1015625,128,0,128,0.0,1.0,1920,65,1855,0.033854166666666664,0.9661458333333334,-178.91128037358777,281.0157716230725
20,60.75644504301266,-2108.4269116709447,3330.850214798436,57,54.609375,128,0,128,0.0,1.0,1920,80,1840,0.041666666666666664,0.9583333333333334,-139.71320036139633,257.7887378106466
21,60.75644504301266,-3232.8946278096464,4037.351085595697,57,54.375,128,0,128,0.0,1.0,1920,70,1850,0.036458333333333336,0.9635416666666666,-214.66505852064307,309.1293382993269
22,60.75644504301266,-2499.4679328408847,3258.707390145482,57,53.890625,128,0,128,0.0,1.0,1920,70,1850,0.036458333333333336,0.9635416666666666,-165.78369552272568,254.13792010011866
23,60.75644504301266,-2435.2273106458024,3185.195413848218,57,55.796875,128,0,128,0.0,1.0,1920,100,1820,0.052083333333333336,0.9479166666666666,-161.4815602930535,257.3801422396595
24,78.88378991931933,-2489.086708976262,3474.7178348878642,57,56.140625,128,0,128,0.0,1.0,1920,129,1791,0.0671875,0.9328125,-165.0698430984175,281.16044180610913
25,78.88378991931933,-2203.772806594477,3274.9356694974676,57,55.8984375,128,0,128,0.0,1.0,1920,134,1786,0.06979166666666667,0.9302083333333333,-146.09797877296518,259.87340210404767
26,106.78352002250331,-2329.6817566186764,3221.796591154224,57,56.3828125,128,0,128,0.0,1.0,1920,130,1790,0.06770833333333333,0.9322916666666666,-154.45227335791176,250.6552571217771
27,106.78352002250331,-3076.627690393873,4005.335244126343,57,56.3671875,128,0,128,0.0,1.0,1920,119,1801,0.06197916666666667,0.9380208333333333,-204.26153352625818,321.20333397077707
28,114.99377318435764,-2356.033971654632,3367.884261903563,59,55.96875,128,0,128,0.0,1.0,1920,130,1790,0.06770833333333333,0.9322916666666666,-156.2169001936421,263.51596246995194
29,135.6175836273107,-2547.4451763166026,3857.957029343896,57,55.9453125,128,0,128,0.0,1.0,1920,114,1806,0.059375,0.940625,-168.98316800444016,307.4948455126651
30,135.6175836273107,-2655.7723085254493,3593.118978906211,58,56.4921875,128,0,128,0.0,1.0,1920,111,1809,0.0578125,0.9421875,-176.19601848502995,297.93712584829075
