generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1912.9860409996136,-7188.212936389271,4101.427958600262,18,15.6875,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-479.21419575928473,452.5773930478942
1,-1549.4517145248244,-2910.1409490632786,1732.2388668669657,19,16.6640625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-193.21877160421855,165.6616654113146
2,-1543.4587374530668,-2540.8500447332576,1498.3850599647885,38,19.4140625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-168.5988571488838,121.4900297075116
3,-1399.3918581434107,-2747.4157210514786,2124.248594802175,38,21.3046875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-182.36000640343187,166.58184334850998
4,-1399.3918581434107,-2839.191364472797,2307.510540443442,33,25.703125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-188.47838263151976,216.56076245363283
5,-1319.0079769553947,-2611.7936143742695,2172.7023294705155,41,33.109375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-173.3185326249513,172.87540817885488
6,-1087.8536217408587,-2278.533465618398,1877.788178541306,38,36.9609375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-151.0996268745599,148.22625195478068
7,-1079.2305590995493,-2110.52587393097,1782.1999645859107,38,38.1015625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-139.9006832620647,139.83966568137788
8,-823.2862373578466,-1833.771343583724,1480.9926447561247,18,40.3984375,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-121.45038123891491,125.58863269573195
9,-771.0504040146795,-1643.472641265846,1476.5361926831108,27,40.484375,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-108.77421775105644,123.76562344465239
10,-659.9270700583713,-1430.5637472008098,1320.539901951618,28,35.09375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-94.57560398005398,108.0088142803309
11,-511.1714188804713,-1188.7295400440048,1149.5322047489904,18,23.9921875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-78.45280266960032,91.35974276754324
12,-511.1714188804713,-1289.2135391425777,1544.4746392658524,18,26.765625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-85.15694427617184,122.23507420955677
13,-511.1714188804713,-1552.2665703504877,2038.867550544916,18,26.4765625,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-102.69381302336585,153.93394810040448
14,-311.7637331953233,-958.9030211926752,741.8571466612689,14,24.3359375,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-63.13624307951168,74.52611634036006
15,-311.7637331953233,-1106.8298848977063,1431.185706560944,14,21.9375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-73.00011732651375,121.08660261008141
16,-311.0368427822191,-1293.1330148444745,1675.9031295035356,24,22.203125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-85.42032598963164,147.6786198387973
17,-308.19665403262934,-916.654694718703,1054.342095179567,17,20.921875,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-60.31656298124686,105.00649263614932
18,-308.19665403262934,-1416.904056205452,2071.0181237662878,14,19.9765625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-93.67016624703014,184.7459068996235
19,-303.73941409585893,-923.0853900141137,1342.393117327888,36,22.4375,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-60.74892183427425,128.88466903258384
20,-296.4243364241463,-850.005948833759,936.573984391269,36,22.890625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-55.86706325558394,98.89131341562887
21,193.42668501330934,-1147.022842978098,1897.558268336124,14,23.7421875,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-75.6681895318732,176.14211903558868
22,203.31640978963298,-1573.934274813394,2661.8965071297853,36,28.828125,128,0,128,0.0,1.0,1920,15,1905,0.0078125,0.9921875,-104.24457665422628,249.73766822600007
23,565.3437141875949,-944.3832710404024,1813.2666129831555,36,31.7421875,128,0,128,0.0,1.0,1920,61,1859,0.03177083333333333,0.9682291666666667,-62.31513473602683,149.72051428994612
24,565.3437141875949,-840.9896086633663,2125.1241265844415,36,31.15625,128,0,128,0.0,1.0,1920,170,1750,0.08854166666666667,0.9114583333333334,-55.31805724422443,164.3161923065085
25,635.3267021721825,-766.3040039838063,2264.4042198958123,36,33.1953125,128,0,128,0.0,1.0,1920,277,1643,0.14427083333333332,0.8557291666666667,-50.44318359892042,190.8435733723851
26,639.1444695704971,-826.9903987948314,2390.1383583907354,41,34.453125,128,0,128,0.0,1.0,1920,230,1690,0.11979166666666667,0.8802083333333334,-54.332693252988754,192.0854648426272
27,809.7261142636485,-598.3573153146966,2284.4832819871967,36,37.671875,128,0,128,0.0,1.0,1920,277,1643,0.14427083333333332,0.8557291666666667,-39.13996685431311,192.63776652620973
28,809.7261142636485,-527.803519414575,2326.1297540492606,36,37.2734375,128,0,128,0.0,1.0,1920,328,1592,0.17083333333333334,0.8291666666666667,-34.49106796097167,192.77428675439606
29,809.7261142636485,-695.3313042805497,2365.565385901263,36,36.203125,128,0,128,0.0,1.0,1920,356,1564,0.18541666666666667,0.8145833333333333,-45.555420285369976,194.7305015921427
30,958.6020628283582,-451.63797091913614,2367.444461293183,36,36.7109375,128,0,128,0.0,1.0,1920,470,1450,0.24479166666666666,0.7552083333333334,-29.465448061275744,209.1771262648355
31,958.6020628283582,-337.87169754411593,2167.743645837936,29,35.8046875,128,0,128,0.0,1.0,1920,483,1437,0.2515625,0.7484375,-21.77686316960773,193.50034339708347
32,1001.3555966522374,-808.8112540410488,3001.4261938539125,24,35.0,128,0,128,0.0,1.0,1920,411,1509,0.2140625,0.7859375,-53.224916936069924,241.956827855255
33,1001.3555966522374,-447.33560138703206,2547.111368931322,33,33.828125,128,0,128,0.0,1.0,1920,508,1412,0.26458333333333334,0.7354166666666667,-29.080706759135477,229.62552312929978
34,1089.63797397728,-454.23722312992857,3189.08582827781,36,32.8125,128,0,128,0.0,1.0,1920,534,1386,0.278125,0.721875,-29.54081487532858,261.35459186108443
35,1089.63797397728,-41.418474980862726,1921.8728632459995,36,30.8515625,128,0,128,0.0,1.0,1920,476,1444,0.24791666666666667,0.7520833333333333,-2.0133149987241783,183.4561478037135
36,1091.5636689336754,-129.07734681792056,2005.4100062059956,36,31.9296875,128,0,128,0.0,1.0,1920,454,1466,0.23645833333333333,0.7635416666666667,-7.961406454528045,192.69998102033955
37,1176.3891151786067,9.09042288434604,1854.8538709226177,36,33.734375,128,0,128,0.0,1.0,1920,532,1388,0.27708333333333335,0.7229166666666667,1.353944858956398,197.4567445449812
38,1287.5363367823416,-488.65184634695174,3293.335165660318,36,36.5546875,128,0,128,0.0,1.0,1920,602,1318,0.31354166666666666,0.6864583333333333,-31.880956423130115,270.30774188648707
39,1287.5363367823416,-335.2931794456785,2670.4200670212513,36,39.234375,128,0,128,0.0,1.0,1920,612,1308,0.31875,0.68125,-21.865378629711902,251.2090985081127
40,1303.4604630125518,178.33662595480297,1954.7030566540702,41,40.9375,128,0,128,0.0,1.0,1920,730,1190,0.3802083333333333,0.6197916666666666,12.480775063653528,211.886528098884
41,1306.773169549919,-973.4155914836135,3710.690504921526,36,40.9453125,128,0,128,0.0,1.0,1920,605,1315,0.3151041666666667,0.6848958333333334,-64.3001019322409,300.5200452647449
42,1306.773169549919,-204.6071423518231,2966.6761723320324,36,40.9375,128,0,128,0.0,1.0,1920,670,1250,0.3489583333333333,0.6510416666666666,-12.892559490121535,255.49904695070154
43,1495.2716272196615,-47.962157033143,2633.8993277365503,41,41.1640625,128,0,128,0.0,1.0,1920,716,1204,0.3729166666666667,0.6270833333333333,-2.7099771355428723,239.61443717221297
44,1502.1146378383469,104.26104996352154,2442.4069646209314,41,40.3125,128,0,128,0.0,1.0,1920,722,1198,0.37604166666666666,0.6239583333333333,7.545007497568096,226.0885634935936
45,1534.4457350082266,-233.85838756308073,2403.971303932986,41,40.5390625,128,0,128,0.0,1.0,1920,662,1258,0.34479166666666666,0.6552083333333333,-15.048371670872054,223.829222943296
46,1534.4457350082266,301.9051362624756,2201.529712823209,41,41.9375,128,0,128,0.0,1.0,1920,828,1092,0.43125,0.56875,20.669196584165032,222.54798503031756
47,1558.4575984296434,353.5162284860087,2374.832430817494,54,43.3828125,128,0,128,0.0,1.0,1920,881,1039,0.4588541666666667,0.5411458333333333,24.057852732400573,221.90217323735033
48,1558.4575984296434,-214.694914683827,3020.876521728611,54,43.2890625,128,0,128,0.0,1.0,1920,777,1143,0.4046875,0.5953125,-13.816119312255145,253.10374153259923
49,1558.4575984296434,-200.61029957594914,2993.082123461254,54,43.6953125,128,0,128,0.0,1.0,1920,781,1139,0.40677083333333336,0.5932291666666667,-12.772978305063289,253.58702939677215
50,1562.887721182035,-131.8363636623618,3010.091247205485,41,47.2734375,128,0,128,0.0,1.0,1920,818,1102,0.42604166666666665,0.5739583333333333,-8.240132577490794,270.14658665979346
51,1600.3035919556096,276.3343636839363,2554.657931938745,54,51.53125,128,0,128,0.0,1.0,1920,849,1071,0.4421875,0.5578125,18.912395078929087,230.2026156429966
52,1562.887721182035,363.4015197157716,1688.3902938922513,41,51.7578125,128,0,128,0.0,1.0,1920,783,1137,0.4078125,0.5921875,24.77572631438477,202.00033477786693
53,1562.887721182035,458.6568971565867,2172.353836180797,41,48.3203125,128,0,128,0.0,1.0,1920,863,1057,0.44947916666666665,0.5505208333333333,31.12608481043911,209.7560934874372
54,1575.329309327888,-129.47601274460263,2625.5248010093383,41,43.5078125,128,0,128,0.0,1.0,1920,728,1192,0.37916666666666665,0.6208333333333333,-8.082775849640177,240.3715334777585
55,1575.329309327888,295.03681147617397,2288.4257113957497,41,43.8046875,128,0,128,0.0,1.0,1920,804,1116,0.41875,0.58125,20.322245765078257,211.71694232160334
56,1584.3478056536237,-100.12939131639236,2705.97256411866,41,44.515625,128,0,128,0.0,1.0,1920,758,1162,0.39479166666666665,0.6052083333333333,-6.230501087759497,236.49898346774023
57,1584.3478056536237,253.75250606393652,2136.8826799066446,41,45.0859375,128,0,128,0.0,1.0,1920,786,1134,0.409375,0.590625,17.517875404262433,208.37900516125342
58,1584.3478056536237,353.9162251268193,1902.803793563054,41,45.0859375,128,0,128,0.0,1.0,1920,793,1127,0.41302083333333334,0.5869791666666667,24.143373341787953,195.0902860872557
59,1585.8268683013653,534.1548650240219,2061.6847548217106,41,43.53125,128,0,128,0.0,1.0,1920,859,1061,0.4473958333333333,0.5526041666666667,36.36761600160144,198.17843268838897
60,1699.7489069563899,102.7429934844979,2663.6054520971097,60,43.6015625,128,0,128,0.0,1.0,1920,828,1092,0.43125,0.56875,7.398491232299845,237.22059450060456
61,1701.2279696041314,196.3772145996973,2523.251527145279,60,46.390625,128,0,128,0.0,1.0,1920,804,1116,0.41875,0.58125,13.643897639979821,221.47700610400213
62,1706.747255181449,604.4475301712903,2029.879318467291,60,51.0625,128,0,128,0.0,1.0,1920,886,1034,0.46145833333333336,0.5385416666666667,40.900668678086035,201.9118355016035
63,1706.747255181449,490.21416085459595,2151.9590547364314,60,58.109375,128,0,128,0.0,1.0,1920,820,1100,0.4270833333333333,0.5729166666666666,33.337194056973075,203.88413619251864
64,1709.051430548382,334.6605928404292,2434.376485785701,60,59.0078125,128,0,128,0.0,1.0,1920,805,1115,0.4192708333333333,0.5807291666666666,22.810706189361962,222.5453073234732
65,1709.051430548382,240.2949650101615,2529.595155282532,60,59.421875,128,0,128,0.0,1.0,1920,767,1153,0.39947916666666666,0.6005208333333333,16.51966433401077,225.92533253850146
66,1709.051430548382,243.2337804783918,2765.6340314078525,60,58.65625,128,0,128,0.0,1.0,1920,857,1063,0.44635416666666666,0.5536458333333333,16.81975203189279,243.20521666815077
67,1713.490021411732,992.8982693857749,1430.5906038298044,60,59.015625,128,0,128,0.0,1.0,1920,930,990,0.484375,0.515625,66.79738462571834,180.72922142149542
68,1746.5926584321978,813.2157626256276,1855.8730375210637,61,59.6328125,128,0,128,0.0,1.0,1920,892,1028,0.46458333333333335,0.5354166666666667,54.87063417504185,194.557571565779
69,1746.5926584321978,288.69161084773896,2405.795317012571,61,59.0390625,128,0,128,0.0,1.0,1920,782,1138,0.40729166666666666,0.5927083333333333,20.007044889849272,217.17959836289188
70,1748.0717210799398,288.95697331475014,2606.0768036248123,61,59.625,128,0,128,0.0,1.0,1920,826,1094,0.43020833333333336,0.5697916666666667,19.86848572098335,230.9212522492864
71,1751.4047297829784,593.0140126238144,2084.4330465754742,61,59.90625,128,0,128,0.0,1.0,1920,841,1079,0.43802083333333336,0.5619791666666667,40.191038341587635,201.2030579001204
72,1751.4047297829784,712.2907141339117,2159.793996584522,61,60.265625,128,0,128,0.0,1.0,1920,876,1044,0.45625,0.54375,48.09073510892746,205.90646095937814
