generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score
0,-1632.0285954883643,-7135.187599776378,4103.444826071905,12,15.8125,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-475.6791733184252,490.36799717950794
1,-1629.9095770794488,-3106.5747131171793,1961.7498061030637,21,16.15625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-206.31748087447858,188.0242808248134
2,-1598.782738455818,-2836.876124467108,2319.6139631399483,24,16.6796875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-188.3328874644739,187.08338073407756
3,-546.9745763860018,-2553.321978276968,2190.855310477286,24,18.03125,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-169.4277152184645,165.38887231101126
4,-546.9745763860018,-2616.095748492599,2314.592480175912,24,22.3671875,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-173.61263323283995,170.45772049961204
5,-489.05693696712467,-2250.4911269872596,2121.2039359016985,37,24.6171875,128,0,128,0.0,1.0,1920,10,1910,0.005208333333333333,0.9947916666666666,-149.2389917991506,161.45292626366813
6,-465.7222002260378,-2139.843538990786,2505.562716609574,24,25.796875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-141.85571509938575,186.5007237238313
7,-455.72456701027704,-1840.2704371632663,2518.4809312241073,24,27.25,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-121.89094581088442,187.48585485912832
8,-87.72550462776233,-2214.6987960291144,2701.5684912062284,37,30.1328125,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-146.9049197352743,205.54222874436692
9,300.9495713678265,-1868.4734320444281,2627.204922967662,23,29.4609375,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-123.76437463629522,198.04968508391207
10,327.0088063589563,-1889.4390793688528,2830.2849164591107,35,29.171875,128,0,128,0.0,1.0,1920,13,1907,0.0067708333333333336,0.9932291666666667,-125.22145945792353,205.29460858983646
11,327.0088063589563,-1013.6940936835367,1991.9679906832152,35,32.1015625,128,0,128,0.0,1.0,1920,38,1882,0.019791666666666666,0.9802083333333333,-66.83221041223577,152.80015497150612
12,327.0088063589563,-1484.8079983895686,2532.370901053878,46,31.9765625,128,0,128,0.0,1.0,1920,67,1853,0.034895833333333334,0.9651041666666667,-98.18772072597125,188.48269024306018
13,556.3532640369434,-1175.7961448118722,2438.4497144993293,39,34.828125,128,0,128,0.0,1.0,1920,97,1823,0.050520833333333334,0.9494791666666667,-77.63901382079148,189.60776680905698
14,565.3430040457163,-1400.7785264329266,2745.0778219844524,35,38.0,128,0,128,0.0,1.0,1920,93,1827,0.0484375,0.9515625,-92.58367259552844,201.07580524650322
15,565.3430040457163,-942.9284923852991,2169.3036513601023,35,39.328125,128,0,128,0.0,1.0,1920,104,1816,0.05416666666666667,0.9458333333333333,-62.062420325686595,166.3878118289893
16,565.3430040457163,-950.2297985141104,1995.10036245425,35,38.421875,128,0,128,0.0,1.0,1920,139,1781,0.07239583333333334,0.9276041666666667,-62.54917406760736,159.87359945943726
17,565.3430040457163,-1078.755478923762,2385.784572008814,35,36.8828125,128,0,128,0.0,1.0,1920,167,1753,0.08697916666666666,0.9130208333333333,-71.11755276158414,182.62288108220937
18,565.3430040457163,-1556.7619228696628,2932.8118748783786,35,35.3125,128,0,128,0.0,1.0,1920,182,1738,0.09479166666666666,0.9052083333333333,-103.14089902464418,224.83570378976435
19,565.3430040457163,-1333.0285472533992,2582.7152592349194,35,35.015625,128,0,128,0.0,1.0,1920,179,1741,0.09322916666666667,0.9067708333333333,-88.12117398355994,195.69726983438764
20,565.3430040457163,-1391.807018162629,2759.576862520631,35,35.8046875,128,0,128,0.0,1.0,1920,180,1740,0.09375,0.90625,-92.09182204417526,204.90849473771252
21,679.7781245175654,-1392.172599181136,2855.6067639396438,35,35.8046875,128,0,128,0.0,1.0,1920,194,1726,0.10104166666666667,0.8989583333333333,-92.01202744540909,214.73668162847238
22,679.7781245175654,-1386.0518377550043,2935.13036302679,35,35.203125,128,0,128,0.0,1.0,1920,199,1721,0.10364583333333334,0.8963541666666667,-91.70814335033361,218.11137427449606
23,714.594942670488,-1112.2752257813804,2861.8471051752967,35,35.2421875,128,0,128,0.0,1.0,1920,227,1693,0.11822916666666666,0.8817708333333333,-73.40428588542535,208.22964013576907
24,1008.8068205127267,-1273.3877640928451,2851.403565976559,35,34.90625,128,0,128,0.0,1.0,1920,222,1698,0.115625,0.884375,-84.19720510618966,208.9865663110109
25,1055.889709445001,-1181.5008960014147,2708.1130090392294,35,35.4453125,128,0,128,0.0,1.0,1920,225,1695,0.1171875,0.8828125,-77.96724723342764,199.34407102776782
26,1056.0558388191057,-955.3985130340668,2630.2623140166193,35,36.4296875,128,0,128,0.0,1.0,1920,289,1631,0.15052083333333333,0.8494791666666667,-63.050005035604464,197.5558440342366
27,1056.0558388191057,-977.2663020167558,2617.3591282908415,35,36.953125,128,0,128,0.0,1.0,1920,298,1622,0.15520833333333334,0.8447916666666667,-64.3516076344504,195.54974944428372
28,1199.048163832977,-1242.5162218092362,3064.757819236361,47,38.109375,128,0,128,0.0,1.0,1920,326,1594,0.16979166666666667,0.8302083333333333,-82.08701895394908,224.81784680192973
29,1199.048163832977,-547.7563757066013,2620.7042241846357,47,37.5078125,128,0,128,0.0,1.0,1920,376,1544,0.19583333333333333,0.8041666666666667,-35.867612547106745,195.40925050066332
30,1199.048163832977,-517.500505874478,2268.2641953231023,47,38.6640625,128,0,128,0.0,1.0,1920,368,1552,0.19166666666666668,0.8083333333333333,-33.90263789163186,175.97305463501945
31,1199.048163832977,-779.2783906163615,2834.815135806864,47,42.2265625,128,0,128,0.0,1.0,1920,396,1524,0.20625,0.79375,-51.1982468744241,210.27600887679407
32,1199.4822006076781,-881.0195444277133,2892.6648281948337,47,46.6796875,128,0,128,0.0,1.0,1920,387,1533,0.2015625,0.7984375,-57.980990461847554,217.0494608157692
33,1217.7068916108153,-840.1051478974227,2889.29119130588,47,46.8515625,128,0,128,0.0,1.0,1920,372,1548,0.19375,0.80625,-55.409614026494836,214.4092136639266
34,1217.7068916108153,-680.2094503419363,2567.2719445502057,47,46.8046875,128,0,128,0.0,1.0,1920,384,1536,0.2,0.8,-44.59365085612908,191.3445962393531
35,1217.7068916108153,-723.8657434072256,2555.2872955486655,47,46.6328125,128,0,128,0.0,1.0,1920,376,1544,0.19583333333333333,0.8041666666666667,-47.55615372714836,197.47060125960388
36,1217.7068916108153,-632.685274200442,2864.154545692394,47,47.3046875,128,0,128,0.0,1.0,1920,427,1493,0.22239583333333332,0.7776041666666667,-41.42537244669612,213.31700874414915
37,1219.4180685430106,-738.655184993571,3083.088560395491,47,46.9921875,128,0,128,0.0,1.0,1920,450,1470,0.234375,0.765625,-48.49003316623805,228.492516627047
38,1219.4180685430106,-459.25275201787565,2467.002696738931,47,46.8359375,128,0,128,0.0,1.0,1920,431,1489,0.22447916666666667,0.7755208333333333,-29.967370967858372,189.66903460073044
39,1241.6580595530152,-755.5886720195044,2578.2684191883964,47,47.1484375,128,0,128,0.0,1.0,1920,360,1560,0.1875,0.8125,-49.723098967966955,196.07229913973444
40,1241.6580595530152,-639.2160963615331,2721.009085110585,47,47.1640625,128,0,128,0.0,1.0,1920,423,1497,0.2203125,0.7796875,-42.06909392410221,208.2231659354318
