generation,best_fitness,mean_fitness,std_fitness,median_fitness,best_tree_size,mean_tree_size,median_tree_size,min_tree_size,max_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,median_episode_score,std_episode_score
0,-1679.9089176465293,-7816.84181385043,4517.438969821999,-7850.245108895768,11,16.046875,16.0,8,24,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-521.1227875900287,-447.17726546718274,554.3966714324537
1,-1679.9089176465293,-3241.8733546953426,2473.1037168487587,-2209.2560766171364,11,16.9375,17.0,8,34,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-216.12489031302283,-139.1835169531239,235.6189074846745
2,-1490.286120657162,-2386.7524602995445,1304.0300514631358,-2007.045969288024,30,17.6171875,19.0,9,34,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-159.1168306866363,-126.24538139699041,119.44134554906557
3,-1234.1185350152502,-2492.713548931869,1802.4352184412778,-1679.9089176465293,22,17.9609375,19.0,9,32,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-166.18090326212462,-117.10097469681043,137.3229528738474
4,-1234.1185350152502,-2382.2803191197345,1895.7532493466442,-1635.7330067144076,22,22.4921875,22.0,11,49,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-158.81868794131563,-113.7659715738214,137.7891363233855
5,-972.2756013303357,-2443.5958891138284,2414.9563990890674,-1490.286120657162,36,25.6875,22.0,9,59,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-162.9063926075886,-108.73497032450211,187.25206360897272
6,-913.9890152733585,-2246.7956820770933,2243.1206424756733,-1280.2459814064591,33,23.8046875,22.0,11,37,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-149.78637880513955,-98.55274281403244,168.06259227676455
7,-687.204092620521,-2266.777701699497,2337.859136461791,-1225.5515973392503,24,27.7265625,29.0,11,52,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-151.11851344663313,-87.32388155740627,177.11050747211397
8,-687.204092620521,-2337.2338397600342,2685.79377757324,-963.7086636543357,24,32.7421875,33.0,15,56,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-155.81558931733562,-80.8566485808092,205.75241837688978
9,-616.0286469206885,-2106.162025110232,2296.7558617934537,-913.9890152733585,24,32.8203125,32.0,14,56,128,0,128,0.0,1.0,1920,9,1911,0.0046875,0.9953125,-140.4108016740155,-76.15195825376887,183.09136872116912
10,-591.3399092692886,-2223.9911629179273,2676.3763722882654,-890.1880515471082,24,30.1640625,24.0,11,62,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-148.26607752786182,-77.16117892041889,206.65418908118463
11,-404.0186910627217,-1894.2352481626383,2263.501895722474,-849.277549268382,24,27.4140625,24.0,15,52,128,0,128,0.0,1.0,1920,9,1911,0.0046875,0.9953125,-126.2823498775092,-73.18346949416154,174.7847656042692
12,-404.0186910627217,-2384.636930003043,3029.811338160578,-799.4787154494022,24,27.65625,24.0,11,47,128,0,128,0.0,1.0,1920,20,1900,0.010416666666666666,0.9895833333333334,-158.9757953335362,-69.64355977010305,240.15943046522128
13,-375.17235749449844,-1916.7560849991037,2465.4032535685724,-667.3148162247362,26,29.5703125,24.0,14,59,128,0,128,0.0,1.0,1920,42,1878,0.021875,0.978125,-127.78373899994024,-65.69130547450632,192.40068076448506
14,-329.08884800538124,-2021.2237829306114,2671.103418134696,-595.7372941386302,38,29.890625,27.0,11,56,128,0,128,0.0,1.0,1920,51,1869,0.0265625,0.9734375,-134.74825219537408,-67.59433733232032,204.84646170656515
15,-329.08884800538124,-2107.3945092767535,2826.3397174261795,-595.7372941386302,38,28.578125,26.0,11,58,128,0,128,0.0,1.0,1920,63,1857,0.0328125,0.9671875,-140.4929672851169,-67.59433733232032,219.06933502432037
16,-329.08884800538124,-2044.0431307230576,3033.4767647991666,-528.1227945561776,44,32.078125,28.0,17,52,128,0,128,0.0,1.0,1920,75,1845,0.0390625,0.9609375,-136.26954204820385,-62.60546921470216,243.49616047085658
