generation,best_fitness,mean_fitness,std_fitness,median_fitness,best_tree_size,mean_tree_size,median_tree_size,min_tree_size,max_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,median_episode_score,std_episode_score
0,-1825.3437322004277,-7141.373951834621,4514.905705317101,-7437.961916722884,22,15.5625,15.0,7,25,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-476.09159678897475,-403.7207884208036,510.3278604938544
1,-217.671658266309,-2508.8539128765765,1458.3024257428617,-2182.8539479268698,19,17.671875,18.0,9,34,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-170.411829472118,-136.66531039518372,121.57639486403231
2,-211.11192449153907,-2954.71755565232,2246.4004548113244,-1941.1201598580492,20,21.7890625,22.0,12,38,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-200.1734471995275,-135.37075671588684,184.92030281765042
3,-204.88899145881913,-2290.7036066103783,1352.671826204766,-1889.2648048190388,22,23.5078125,22.0,9,43,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-155.89624018066255,-121.85710671519732,124.89589428623
4,-215.93929799442273,-2684.2365810707797,2421.315498073909,-1875.36568350932,22,24.8515625,26.0,9,43,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-182.21703567648356,-124.88439469946005,216.3452198730552
5,-212.3341929856305,-2164.917169105348,1454.7786298971864,-1770.7631823162228,22,25.0078125,24.5,16,43,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-147.5176302375709,-121.07540586546476,122.12496097841114
6,-216.23823687835485,-2433.984936260661,2017.226231449174,-1751.8134667519553,22,22.59375,20.0,15,41,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-165.22693102312405,-117.2223194410055,162.7988790860311
7,-209.95513263198416,-2773.9009677938448,2249.2335969866685,-1815.225272285701,22,21.8828125,20.0,6,41,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-188.01776838274284,-116.0295026357415,209.36755387549937
8,-204.13452649183859,-3418.0434199513857,3712.93988826564,-1741.2481827039796,22,22.21875,20.0,9,42,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-230.99058162317561,-120.88732118591174,356.2464860423196
9,-209.40136852227494,-2560.115931151996,2205.2284019911194,-1731.573491919812,22,23.71875,21.5,9,44,128,0,128,0.0,1.0,1920,7,1913,0.0036458333333333334,0.9963541666666667,-174.05974853462874,-112.78618944597189,182.0594275273675
