generation,best_fitness,mean_fitness,std_fitness,median_fitness,best_tree_size,mean_tree_size,median_tree_size,min_tree_size,max_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,median_episode_score,std_episode_score
0,-1934.369123973528,-7513.3293810238265,3960.355184361912,-7608.735068743668,7,15.0859375,15.0,7,23,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-500.88862540158846,-443.0067069392885,455.24931853475294
1,-1785.444487425622,-3313.5088828963403,2261.7565687341644,-2202.6951126591853,15,16.3515625,16.0,7,33,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-220.90059219308932,-144.58582146781586,208.72268994576314
2,-1622.235145524136,-2781.969942048045,2014.4964157567865,-2066.3177882126292,15,16.6640625,16.0,5,39,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-185.464662803203,-133.07071642915525,166.57414953700365
3,-1203.2145282397905,-2710.829356069001,1905.7127489027614,-1941.1201598580492,20,17.671875,16.0,7,43,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-180.72195707126676,-122.99460085938041,164.8915623227585
4,-1064.4406369877845,-2616.110379448438,1768.5600943967365,-1849.6018447093948,37,19.5625,19.0,10,39,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-174.40735862989587,-117.18841991942799,147.53901681178982
5,-458.9315934425474,-2071.1354124448962,1431.343247568129,-1625.3595296350325,12,21.796875,20.0,7,43,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-138.07569416299307,-103.95283458634768,131.39746922087195
6,-458.9315934425474,-2674.826921479126,2468.2185138276977,-1518.8667807302404,12,23.515625,20.0,7,51,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-178.3217947652751,-101.53870640370786,214.82266321610865
7,-313.0946557925305,-2437.835000523829,2386.9065777288392,-1344.5888446745469,17,23.3046875,20.0,11,50,128,0,128,0.0,1.0,1920,14,1906,0.007291666666666667,0.9927083333333333,-162.52233336825526,-87.60642825284768,213.1112513068467
8,-265.9621321390266,-2391.27223344642,2508.352613496418,-1214.057558343619,17,19.59375,17.0,11,50,128,0,128,0.0,1.0,1920,24,1896,0.0125,0.9875,-159.41814889642802,-89.81990152985433,200.44399106300983
9,-313.0946557925305,-3076.369662983956,3046.657531338145,-1657.0818106348315,17,17.2109375,17.0,10,36,128,0,128,0.0,1.0,1920,42,1878,0.021875,0.978125,-205.09131086559708,-108.1331721110333,242.42847574694065
10,-72.56894386947539,-2708.095738214318,3140.1888339705015,-1280.937143420977,17,18.390625,17.0,10,37,128,0,128,0.0,1.0,1920,53,1867,0.027604166666666666,0.9723958333333333,-180.53971588095456,-83.05058366038062,258.3710633643427
11,-72.56894386947539,-2144.8706900726434,2711.938207020411,-861.7773928895465,17,20.53125,17.0,12,41,128,0,128,0.0,1.0,1920,66,1854,0.034375,0.965625,-142.9913793381762,-69.84358055309073,216.9820060966883
12,-72.56894386947539,-2368.2425681871227,2492.781702924296,-1283.407848575528,34,21.8125,17.0,16,41,128,0,128,0.0,1.0,1920,58,1862,0.030208333333333334,0.9697916666666667,-157.8828378791415,-83.60619543129414,196.4669529529299
13,-60.21852227271664,-2095.4394444889654,2433.6222960892355,-915.2471680162678,17,24.7265625,25.0,10,47,128,0,128,0.0,1.0,1920,79,1841,0.04114583333333333,0.9588541666666667,-139.695962965931,-71.31499652233086,202.26142849910838
14,-36.71824059951129,-1989.2646075165092,2244.0837941197096,-1085.799750822663,25,27.125,26.0,16,47,128,0,128,0.0,1.0,1920,106,1814,0.05520833333333333,0.9447916666666667,-132.61764050110062,-77.86195497627789,189.60697823847846
15,-36.71824059951129,-1668.6173367322433,2207.4646944736664,-453.6166932584912,25,26.59375,26.0,16,51,128,0,128,0.0,1.0,1920,129,1791,0.0671875,0.9328125,-111.24115578214956,-56.0182457288459,185.4842725753039
16,-36.71824059951129,-1910.2075679908708,2529.6197284863147,-746.860242095968,43,26.1484375,25.0,15,49,128,0,128,0.0,1.0,1920,121,1799,0.06302083333333333,0.9369791666666667,-127.34717119939138,-56.0182457288459,206.46323575554683
17,-36.71824059951129,-1918.839848522658,2308.1425359863956,-984.8829249038789,43,27.015625,25.0,15,55,128,0,128,0.0,1.0,1920,110,1810,0.057291666666666664,0.9427083333333334,-127.9226565681772,-66.94972046642056,188.44379875732932
18,-36.71824059951129,-2196.715217133863,2570.7248900112263,-1102.3111314795087,22,29.515625,25.0,14,60,128,0,128,0.0,1.0,1920,102,1818,0.053125,0.946875,-146.44768114225752,-66.44239452659912,202.01138099459095
19,-36.71824059951129,-1950.010975571479,2396.2680284047187,-901.2496664869179,25,33.515625,31.0,12,63,128,0,128,0.0,1.0,1920,116,1804,0.06041666666666667,0.9395833333333333,-130.0007317047653,-59.18605876872171,195.14481077424605
20,-36.71824059951129,-1845.6480585216689,2447.82229977168,-736.5648631069071,25,35.421875,32.5,18,62,128,0,128,0.0,1.0,1920,110,1810,0.057291666666666664,0.9427083333333334,-123.04320390144457,-53.749408011504215,195.9254255571039
21,-36.71824059951129,-2093.0192537237517,2417.4146238088415,-1311.2770669707584,59,33.90625,32.0,14,62,128,0,128,0.0,1.0,1920,98,1822,0.051041666666666666,0.9489583333333333,-139.53461691491674,-76.5111533362595,190.86863568904604
22,-24.826556732073144,-1868.2289196567579,2293.2031094272793,-885.0462973147411,18,34.15625,30.0,8,63,128,0,128,0.0,1.0,1920,111,1809,0.0578125,0.9421875,-124.54859464378384,-59.18605876872171,185.09946681050283
23,-25.623329448525382,-1967.3523074236437,2263.323233852129,-964.6634029347168,39,36.3125,33.0,16,63,128,0,128,0.0,1.0,1920,89,1831,0.04635416666666667,0.9536458333333333,-131.15682049490957,-59.18605876872171,184.87249095599168
24,-25.623329448525382,-1844.8504046955627,2394.797592122028,-302.46595235196963,39,37.6640625,37.0,14,59,128,0,128,0.0,1.0,1920,123,1797,0.0640625,0.9359375,-122.99002697970418,-53.33579015753547,193.9069567804311
25,-24.826556732073144,-1634.4948723919738,2174.835660138463,-727.1871191003203,39,39.4375,38.0,14,63,128,0,128,0.0,1.0,1920,111,1809,0.0578125,0.9421875,-108.96632482613158,-57.7561308812835,176.57148418072384
26,-24.826556732073144,-1701.0538089321349,2041.544524532636,-965.6561729728169,39,39.5390625,39.0,18,63,128,0,128,0.0,1.0,1920,113,1807,0.058854166666666666,0.9411458333333333,-113.40358726214232,-53.33579015753547,175.79127058791823
27,-24.826556732073144,-1777.9929748434233,2353.4624942135692,-498.5339103785842,26,40.8828125,39.0,10,63,128,0,128,0.0,1.0,1920,125,1795,0.06510416666666667,0.9348958333333334,-118.53286498956157,-53.33579015753547,193.26765785458065
28,49.1420427376206,-1842.1116551603113,2518.7343759045534,-467.396059540312,54,43.28125,39.0,16,63,128,0,128,0.0,1.0,1920,126,1794,0.065625,0.934375,-122.8074436773541,-53.33579015753547,200.72847995838328
29,49.1420427376206,-2000.5571272474313,2517.401586425423,-809.2448372205612,54,42.2890625,39.0,19,63,128,0,128,0.0,1.0,1920,114,1806,0.059375,0.940625,-133.3704751498287,-53.33579015753547,202.84648277175407
30,49.1420427376206,-2034.3114354870163,2556.25654856029,-925.2416112907098,54,42.6171875,39.0,19,63,128,0,128,0.0,1.0,1920,114,1806,0.059375,0.940625,-135.6207623658011,-57.450568439180884,204.8196756698528
31,49.1420427376206,-1490.3420836230891,2270.6872283668054,-37.10706388901319,54,49.0546875,54.0,19,63,128,0,128,0.0,1.0,1920,137,1783,0.07135416666666666,0.9286458333333333,-99.35613890820596,-44.50418608275258,177.79852253794036
32,49.6977449253976,-1478.964626530078,2307.2121577786215,49.1420427376206,52,54.0390625,54.0,31,62,128,0,128,0.0,1.0,1920,149,1771,0.07760416666666667,0.9223958333333333,-98.59764176867186,-44.50418608275258,184.98887187718347
33,49.78334847915009,-1830.9174385175775,2404.4715598784596,-1053.4040717056366,54,54.3203125,54.0,45,63,128,0,128,0.0,1.0,1920,125,1795,0.06510416666666667,0.9348958333333334,-122.06116256783852,-67.16045300520327,190.22492386283116
34,49.78334847915009,-1288.5862686103656,1951.9492448729284,49.093557750389934,54,53.53125,54.0,24,63,128,0,128,0.0,1.0,1920,147,1773,0.0765625,0.9234375,-85.90575124069103,-44.50418608275258,169.18174194885503
35,50.49451764184987,-1288.4486409967335,2110.2431954678987,49.1420427376206,52,53.4609375,54.0,35,63,128,0,128,0.0,1.0,1920,149,1771,0.07760416666666667,0.9223958333333333,-85.8965760664489,-44.50418608275258,171.39006455227675
36,50.49451764184987,-1891.5886254130542,2353.8894334810784,-784.6027734592869,52,53.3046875,53.5,27,63,128,0,128,0.0,1.0,1920,127,1793,0.06614583333333333,0.9338541666666667,-126.10590836087027,-74.4721410305007,191.1285283465843
37,50.49451764184987,-1845.9706424361934,2388.7889621724266,-736.4929824213805,49,53.4921875,54.0,27,63,128,0,128,0.0,1.0,1920,126,1794,0.065625,0.934375,-123.06470949574623,-59.25670211532767,195.05246515243115
38,50.49451764184987,-1623.8379432085512,2422.6018134416286,-162.93232105531638,49,53.3203125,54.0,40,63,128,0,128,0.0,1.0,1920,138,1782,0.071875,0.928125,-108.2558628805701,-47.553316488344215,193.88049664062845
39,151.491005341275,-1489.7840567001613,2104.9030286593725,-222.34238500418812,47,52.4140625,52.0,40,63,128,0,128,0.0,1.0,1920,128,1792,0.06666666666666667,0.9333333333333333,-99.3189371133441,-52.22037202521294,174.6339810483018
40,151.491005341275,-1695.3184919727514,2326.884323190918,-563.0754841124731,47,52.15625,49.5,40,63,128,0,128,0.0,1.0,1920,136,1784,0.07083333333333333,0.9291666666666667,-113.02123279818346,-53.33579015753547,192.37960939579096
41,151.491005341275,-1804.5939683132356,2346.536717255423,-693.7025163868827,47,51.296875,49.0,40,63,128,0,128,0.0,1.0,1920,123,1797,0.0640625,0.9359375,-120.3062645542157,-53.33579015753547,190.0274983825663
42,151.491005341275,-1970.0289611121184,2404.0826872129473,-967.9885975301664,47,49.734375,49.0,21,61,128,0,128,0.0,1.0,1920,119,1801,0.06197916666666667,0.9380208333333333,-131.3352640741412,-53.439667625221745,199.119199177772
43,151.491005341275,-1274.1389466176156,2007.0152739333823,-96.08579559754332,47,48.5625,47.5,15,60,128,0,128,0.0,1.0,1920,138,1782,0.071875,0.928125,-84.94259644117437,-44.50418608275258,164.8258904464975
44,151.491005341275,-1929.2040741462129,2527.217623210185,-258.035082744604,47,49.328125,47.0,25,63,128,0,128,0.0,1.0,1920,132,1788,0.06875,0.93125,-128.61360494308084,-49.21295459305877,206.20882836372553
45,151.491005341275,-1638.016144416707,2339.735283084105,-559.9151088133527,52,49.7578125,48.0,39,63,128,0,128,0.0,1.0,1920,123,1797,0.0640625,0.9359375,-109.20107629444716,-53.33579015753547,187.75050448172556
