generation,best_fitness,mean_fitness,std_fitness,median_fitness,best_tree_size,mean_tree_size,median_tree_size,min_tree_size,max_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,median_episode_score,std_episode_score
0,-1982.911991214606,-6797.035576353355,3795.23814622075,-6843.92567172766,18,15.8046875,15.5,7,27,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-453.13570509022367,-424.05010260798286,397.9285505481594
1,-170.03304452037395,-2964.8614239024237,1754.837521964795,-2202.6951126591853,18,16.96875,17.0,7,34,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-199.3590055976801,-144.58582146781586,160.70603601135042
2,-183.67131974134955,-2711.2114536721115,1760.3041022148168,-2128.4380325054444,18,18.421875,18.0,9,31,128,0,128,0.0,1.0,1920,5,1915,0.0026041666666666665,0.9973958333333334,-182.6167142110057,-138.56942694382462,171.60419044577984
3,-167.15693274331014,-2513.9508263756484,1507.3157267212098,-1982.911991214606,18,19.296875,18.0,8,38,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-169.34906025686132,-136.66531039518372,122.50305359325176
4,-169.05984345416934,-2612.6688184972463,2025.7310907838564,-1941.1201598580492,18,20.734375,18.0,7,51,128,0,128,0.0,1.0,1920,7,1913,0.0036458333333333334,0.9963541666666667,-175.83577184776058,-134.2237043697922,193.1940821819954
5,-170.01721028803948,-2253.5444281694863,1660.185871335919,-1831.483119444519,18,18.3671875,17.0,10,38,128,0,128,0.0,1.0,1920,30,1890,0.015625,0.984375,-152.0056860302722,-120.19233523675763,138.90140508434666
6,-177.61266026885724,-2082.662390990712,1549.9488244147901,-1788.091642580222,18,19.859375,18.0,8,37,128,0,128,0.0,1.0,1920,78,1842,0.040625,0.959375,-140.67588670938036,-116.26023677204057,163.2738478225346
7,-178.6307740877415,-1979.5411526963992,2378.8139484175767,-1555.4954349867908,18,19.828125,18.0,8,34,128,0,128,0.0,1.0,1920,153,1767,0.0796875,0.9203125,-133.8253311605473,-112.9355622804481,243.53706607064584
8,-180.23183882964778,-1884.6968273922603,2029.1657178609303,-1168.032322497612,18,18.90625,17.0,7,40,128,0,128,0.0,1.0,1920,193,1727,0.10052083333333334,0.8994791666666667,-127.47110717592597,-114.4285678583584,209.11149826579373
9,-175.98163340847495,-1649.0875217312293,1789.034425578595,-962.3099766943984,18,21.3359375,20.0,8,49,128,0,128,0.0,1.0,1920,207,1713,0.1078125,0.8921875,-111.71797496206497,-113.76977156928383,185.59525685585186
10,-177.87297406771958,-1771.409606220583,1680.5378747830166,-1363.991268642682,18,25.7109375,25.0,10,53,128,0,128,0.0,1.0,1920,191,1729,0.09947916666666666,0.9005208333333333,-120.01982677997987,-118.14668039705124,178.236922349132
11,-172.2933487957061,-1597.32425576725,1800.2528081568091,-886.4542248378832,18,23.8046875,22.0,11,59,128,0,128,0.0,1.0,1920,215,1705,0.11197916666666667,0.8880208333333334,-108.18953935041172,-108.14583401363348,189.09357566775427
12,-177.78305316798466,-1631.4215723442035,1966.0818928680692,-897.405030463153,18,24.171875,22.0,11,59,128,0,128,0.0,1.0,1920,199,1721,0.10364583333333334,0.8963541666666667,-110.64029986236416,-106.005632143801,209.513690553006
13,-173.63447704473305,-1557.8845671374806,1611.7622187852044,-839.5752349302536,18,23.59375,22.0,10,45,128,0,128,0.0,1.0,1920,203,1717,0.10572916666666667,0.8942708333333333,-105.61270211048077,-108.38320173731489,166.8547675529013
14,-175.6540797086282,-1784.284095163122,2433.9253067929026,-699.0273338707639,18,25.6328125,25.0,13,54,128,0,128,0.0,1.0,1920,203,1717,0.10572916666666667,0.8942708333333333,-120.77476861973969,-105.34288541342683,239.40525110779686
15,222.44269513544305,-1657.0141294165674,1975.8355156782916,-1083.598826455926,25,26.0546875,25.0,12,55,128,0,128,0.0,1.0,1920,182,1738,0.09479166666666666,0.9052083333333333,-112.21192226250577,-109.26163446629462,207.6597716604669
16,222.44269513544305,-1921.3368983718337,2755.613215921796,-1158.3895980105985,25,26.265625,21.0,16,60,128,0,128,0.0,1.0,1920,199,1721,0.10364583333333334,0.8963541666666667,-128.78326300365418,-105.34288541342683,288.21764292161924
17,222.44269513544305,-1618.1680641939772,2876.927564743251,-467.22129345042976,25,28.0546875,25.0,16,55,128,0,128,0.0,1.0,1920,254,1666,0.13229166666666667,0.8677083333333333,-108.87133730066853,-95.99075369282895,299.7400446471861
18,440.9350331471809,-1632.730771684261,2521.0120523315004,-469.1660920916021,31,27.609375,25.0,20,55,128,0,128,0.0,1.0,1920,269,1651,0.14010416666666667,0.8598958333333333,-109.55613817376283,-100.05457542516545,226.9222881272215
19,262.3146045412322,-883.8530165276801,1482.3220124083189,-273.3849822256185,27,28.5625,26.0,21,58,128,0,128,0.0,1.0,1920,336,1584,0.175,0.825,-59.24204566433782,-83.7190881505774,175.00691759915023
20,262.3146045412322,-1159.256085286534,1789.1300208254095,-461.6650416854156,31,30.015625,27.0,15,61,128,0,128,0.0,1.0,1920,296,1624,0.15416666666666667,0.8458333333333333,-77.66816761310378,-99.2172825200249,185.59222641064142
21,318.33384526062827,-1213.6651360226344,1797.6534599331362,-456.1087899204014,25,28.953125,27.0,23,58,128,0,128,0.0,1.0,1920,286,1634,0.14895833333333333,0.8510416666666667,-81.1783581077731,-99.34354446048357,180.4357482978017
22,320.84319234438004,-900.6402249581906,1650.487053082842,111.82509383317002,47,30.4375,27.0,21,56,128,0,128,0.0,1.0,1920,329,1591,0.17135416666666667,0.8286458333333333,-60.06877425767984,-83.7190881505774,175.1751256310857
23,320.84319234438004,-853.3045213048114,1532.8262186376187,-156.91832684622113,58,32.15625,30.5,19,58,128,0,128,0.0,1.0,1920,358,1562,0.18645833333333334,0.8135416666666667,-57.27836925986305,-89.05518033558434,174.72841780426867
24,374.5479616989913,-1743.1201174932914,2505.5933911488005,-1236.9192933457966,25,33.9921875,31.0,22,60,128,0,128,0.0,1.0,1920,291,1629,0.1515625,0.8484375,-116.29161101777059,-108.10847471805302,230.03338020995446
25,668.3790966962076,-1126.7663090048522,1795.0631399576675,-551.5333227053371,29,36.4453125,31.5,22,58,128,0,128,0.0,1.0,1920,346,1574,0.18020833333333333,0.8197916666666667,-76.10736561517773,-99.40107783102684,180.22342408072296
26,668.3790966962076,-929.986265023507,2048.367107688573,121.66398945353905,29,38.9296875,41.5,23,63,128,0,128,0.0,1.0,1920,395,1525,0.20572916666666666,0.7942708333333334,-62.59804820982977,-84.37566227647588,191.77689900440006
27,703.1841318124343,-808.5262969179336,1643.7423922641349,0.9618792464431172,29,34.03125,29.0,24,58,128,0,128,0.0,1.0,1920,407,1513,0.21197916666666666,0.7880208333333333,-54.05808749105801,-78.89641804350933,180.29114636355473
28,703.1841318124343,-829.4602737520158,1710.3476514384074,-97.67841907631495,29,34.703125,31.0,24,63,128,0,128,0.0,1.0,1920,387,1533,0.2015625,0.7984375,-55.865268461379884,-80.69049278886934,178.75673615142068
29,749.241999841806,-935.4040859038181,1882.7657150808798,-209.34511581272432,25,35.9140625,33.0,24,58,128,0,128,0.0,1.0,1920,362,1558,0.18854166666666666,0.8114583333333333,-62.528822965054005,-91.34924231340835,183.14908787407904
30,740.317331044351,-1108.5493381398521,2040.486077690809,-431.893892215703,33,38.5390625,36.0,17,59,128,0,128,0.0,1.0,1920,337,1583,0.17552083333333332,0.8244791666666667,-73.83472375410739,-97.10554051398852,193.34306734826657
31,740.317331044351,-958.4885815659932,2071.376286009007,-110.56302841221904,33,36.046875,33.0,13,61,128,0,128,0.0,1.0,1920,372,1548,0.19375,0.80625,-63.95917731175814,-81.27397178787868,195.69584564992735
32,755.1381104618081,-775.6970041428244,1964.2424012575254,-61.27612008243273,33,34.75,33.0,22,61,128,0,128,0.0,1.0,1920,384,1536,0.2,0.8,-52.400749427243404,-66.75481171033869,193.0976096861646
33,755.1381104618081,-591.6739484541356,1671.9576895863559,-69.89374279396796,33,37.265625,37.0,24,61,128,0,128,0.0,1.0,1920,398,1522,0.20729166666666668,0.7927083333333333,-39.74140275851866,-42.67521399860043,178.2854307837229
34,767.736365005355,-511.11560841095616,1789.033794839435,653.3691694473493,41,38.421875,38.0,24,62,128,0,128,0.0,1.0,1920,428,1492,0.22291666666666668,0.7770833333333333,-33.98859544655111,-36.692779236372274,195.37764670141522
35,768.5823680414397,-684.5128318224554,1945.5098789815736,-34.80125368975164,30,37.296875,36.5,24,60,128,0,128,0.0,1.0,1920,389,1531,0.20260416666666667,0.7973958333333333,-45.91551793656472,-45.83274556660988,190.9552772184728
36,785.460888660619,-751.0042433477602,1944.2988182716458,-9.847527206728449,36,37.40625,37.0,24,61,128,0,128,0.0,1.0,1920,388,1532,0.20208333333333334,0.7979166666666667,-50.26554180374469,-70.04265017939954,191.26402676007285
37,785.460888660619,-722.4373959719608,1930.278755448839,-77.30320561779551,36,34.734375,30.0,24,60,128,0,128,0.0,1.0,1920,384,1536,0.2,0.8,-47.65890499584858,-67.70344920777752,189.94859060806414
38,809.879778292413,-797.6073037279507,2089.75025322509,-44.532171730855495,29,36.203125,32.0,22,63,128,0,128,0.0,1.0,1920,399,1521,0.2078125,0.7921875,-53.075683775824444,-62.00341974862032,198.6742880267066
39,809.879778292413,-474.0119191479504,1501.0064779720014,71.98284397956915,29,37.8515625,36.0,24,59,128,0,128,0.0,1.0,1920,417,1503,0.2171875,0.7828125,-32.15697752548897,-40.63839487497236,176.6641880372519
40,857.4988215099497,-360.9944194875824,1498.2090749008066,337.7901893248969,36,43.453125,49.0,26,61,128,0,128,0.0,1.0,1920,427,1493,0.22239583333333332,0.7776041666666667,-24.2198129538688,-36.692779236372274,177.40451430608275
41,945.8266121835861,-492.81195321465896,1845.858172549701,231.57011928585274,36,42.0703125,40.0,27,63,128,0,128,0.0,1.0,1920,433,1487,0.22552083333333334,0.7744791666666667,-32.06239843553439,-36.692779236372274,191.8037555087381
42,945.8266121835861,-451.64665598136145,1856.3311904544225,295.0554604698773,36,38.234375,36.0,27,61,128,0,128,0.0,1.0,1920,430,1490,0.22395833333333334,0.7760416666666666,-29.748888229497854,-36.692779236372274,188.6601555905074
43,1089.5544031471045,-605.0901897810303,2172.2332260265343,207.0657607747599,52,37.6875,36.0,25,55,128,0,128,0.0,1.0,1920,438,1482,0.228125,0.771875,-39.983665693218946,-36.692779236372274,208.88845706003633
44,1096.2058172315637,-118.88214273788101,1531.208496492632,739.2699263437972,52,39.4609375,36.0,24,63,128,0,128,0.0,1.0,1920,515,1405,0.2682291666666667,0.7317708333333334,-7.3298698954686055,-30.449385751571498,177.59430475134158
45,1096.2058172315637,-297.74966986775496,1641.169134540709,392.0929781842344,52,42.4921875,39.0,27,61,128,0,128,0.0,1.0,1920,483,1437,0.2515625,0.7484375,-19.347732842830702,-36.692779236372274,181.37289285835175
