generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
0,-1706.8145129960797,-7421.748339715028,4797.640078052868,15,15.1640625,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-494.78322264766854,534.9038249213897,-1074.5499847395151,-107.45499847395152,60.035427434948275,0.0,-1074.5499847395151
1,-1664.7153819891703,-3059.6452971215663,2205.700021237253,15,17.6484375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-203.97012918310438,204.63110865919583,-1357.031868847793,-135.7031868847793,57.73492474036416,0.0,-1074.5499847395151
2,-1664.7153819891703,-2386.1144178659115,1712.7692370680732,15,19.1953125,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-159.06874244106078,176.21935906179917,-1009.6911984771434,-100.96911984771432,44.62742321922531,0.0,-1009.6911984771434
3,-1647.5333142562115,-2813.0527918626713,3074.021837783781,29,18.3203125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-187.5311704991781,287.76363047948155,-1024.3593032645913,-102.43593032645913,35.391411770736426,0.0,-1009.6911984771434
4,-1504.1400433731123,-3190.2560738153766,3598.3635973211112,23,20.3359375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-212.67845179602512,330.75379611711776,-624.3697949012064,-62.436979490120656,37.99899989720547,0.0,-624.3697949012064
5,-1332.0367998871802,-2630.119264037424,2807.488632593178,32,21.1015625,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-175.3340342691616,292.28523704603765,-1074.3515403190727,-107.43515403190727,48.25377283404344,0.0,-624.3697949012064
6,-1280.63651068904,-2560.5470749242304,2389.96076908219,18,26.234375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-170.697325828282,251.4975985000097,-1023.2152102174738,-102.32152102174737,137.24910459839163,0.0,-624.3697949012064
7,-1029.4414780777938,-2904.353055249755,3466.9883692066865,13,27.5078125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-193.61740680831704,319.6047829114505,-633.9198587910035,-63.39198587910035,56.7309495836542,0.0,-624.3697949012064
8,-894.122450496232,-3015.4963708904065,3670.2937190831385,17,28.7734375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-201.02668514269376,339.1110404067012,-316.4441751705731,-31.64441751705731,74.1723853883429,0.0,-316.4441751705731
9,-887.3351158765702,-2516.916008867828,3237.5466103344447,17,25.0546875,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-167.78561934118858,307.6489053155302,-787.7191889131714,-78.77191889131714,71.05464975981458,0.0,-316.4441751705731
10,-663.9348500934369,-2142.5273486558463,2856.862880889217,22,23.5234375,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-142.82838053538975,254.34216135021268,-282.3596808015503,-28.235968080155033,39.233199307050064,0.0,-282.3596808015503
