generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
0,-1635.616644671455,-7151.296017579432,3981.4780110345328,17,15.890625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-476.75306783862885,429.9410803811422,,,,,
1,-1633.6354106166546,-3471.3036933701587,2608.826921875793,28,16.1640625,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-231.42024622467721,223.96615199494684,,,,,
2,-1046.6143176088174,-2559.7523121067825,2032.0638651529332,21,19.3671875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-170.65015414045217,155.29173793284156,,,,,
3,-862.9702094488003,-2290.7795076112307,1865.064717856537,21,20.296875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-152.7186338407487,143.68577157801224,,,,,
4,-611.2175865722156,-1898.249217882508,1456.2880694794562,21,21.71875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-126.54994785883385,112.1229358105735,,,,,
5,-619.3282539251317,-1584.556545965756,1209.6447009971885,21,24.8203125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-105.63710306438374,110.17091020190857,,,,,
6,-565.5856858036154,-1516.1200697102126,1511.8639310790593,21,26.2578125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-101.07467131401418,129.27370370814114,,,,,
7,-571.9375856881885,-1199.4788632095517,1318.2405307540332,30,27.625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-79.96525754730345,107.83366065682178,,,,,
8,-547.8787810523095,-1836.5295791353924,2938.246289519381,35,27.71875,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-122.43530527569283,222.76194142398234,,,,,
9,-547.8787810523095,-1268.1447753039292,1679.9598061102542,35,29.96875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-84.54298502026195,131.6391225770649,,,,,
10,-522.3659314664407,-1309.6121902631571,1865.3627886349434,33,32.1015625,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-87.30747935087713,145.56378580076282,,,,,
11,223.80819057479454,-1238.6929298901618,1826.3808138092134,30,34.609375,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-82.5795286593441,150.2068068120723,,,,,
12,378.35065776891224,-1569.6267920301802,2409.7617376458666,42,35.4375,128,0,128,0.0,1.0,1920,21,1899,0.0109375,0.9890625,-104.64178613534537,198.35257455084468,,,,,
13,413.80969260504304,-1243.1366117185644,2316.605779386334,42,35.7890625,128,0,128,0.0,1.0,1920,104,1816,0.05416666666666667,0.9458333333333333,-82.87577411457096,181.79516903151597,,,,,
14,1156.2674849600112,-1052.540467697232,2507.7341801686107,52,39.4609375,128,0,128,0.0,1.0,1920,288,1632,0.15,0.85,-70.16936451314879,203.1892785889645,,,,,
15,1156.2674849600112,-596.1272700876367,2211.298442046751,52,44.1953125,128,0,128,0.0,1.0,1920,375,1545,0.1953125,0.8046875,-39.74181800584244,197.6943631421531,,,,,
16,1173.52061153131,-491.81857461536845,2763.001298040855,52,44.1953125,128,0,128,0.0,1.0,1920,521,1399,0.2713541666666667,0.7286458333333333,-32.787904974357886,231.62249957240206,,,,,
17,1224.795892489114,-78.24728946047907,2216.3139126905517,52,50.109375,128,0,128,0.0,1.0,1920,572,1348,0.29791666666666666,0.7020833333333333,-5.216485964031937,187.19809080373665,,,,,
18,1410.9300739386426,-350.2741162963618,2841.6213696874647,52,51.2734375,128,0,128,0.0,1.0,1920,581,1339,0.3026041666666667,0.6973958333333333,-23.351607753090793,224.94382598659374,,,,,
19,1410.9300739386426,-202.32756115596783,2477.861058101295,52,52.4921875,128,0,128,0.0,1.0,1920,591,1329,0.3078125,0.6921875,-13.488504077064524,205.36720074410295,,,,,
20,1548.8100190957223,-43.270396684581485,2406.604091863696,52,53.1875,128,0,128,0.0,1.0,1920,622,1298,0.32395833333333335,0.6760416666666667,-2.8846931123054365,204.02892262477283,,,,,
