generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
0,-1997.4703969711932,-8014.367038591476,4466.898353187954,20,15.3515625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-534.2911359060984,527.5860927217359,-1297.8833932757725,-129.78833932757726,20.36236699819937,0.0,-1297.8833932757725
1,-1898.0239673865483,-3603.954190064221,2608.0454687593256,17,17.0390625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-240.25815954594808,233.0314431632303,-1336.8843359952155,-133.68843359952152,30.510334160102957,0.0,-1297.8833932757725
2,-1767.9012344858977,-2410.3879108510027,1114.09378807466,20,19.8203125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-160.68693884840016,103.3417713728664,-1083.3671780847328,-108.33671780847328,29.628348666871005,0.0,-1083.3671780847328
3,-1631.3498626713813,-2309.927551419589,1186.8715163629174,20,20.9765625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-153.98938363630592,132.5837448204922,-1062.0597850530305,-106.20597850530305,13.986005942683864,0.0,-1062.0597850530305
4,-1105.0891750921419,-2747.0590230357775,2875.8643108343563,46,21.546875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-183.13167966071848,253.0623595634173,-459.46627928404024,-45.94662792840403,30.446238013609754,0.0,-459.46627928404024
5,-956.1947918035419,-2546.533649184038,2402.2049758770668,46,23.6484375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-169.76337869560254,226.34325373443264,-784.0618423657667,-78.40618423657665,48.31752930379917,0.0,-459.46627928404024
6,-1056.4037187029367,-2312.961658998003,1688.2522548876216,57,29.5703125,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-154.19151684986687,150.54743933955695,-906.9384833785814,-90.69384833785811,84.29974888342457,0.0,-459.46627928404024
7,-167.5819742735373,-2065.606158768722,1597.0364551425666,46,42.125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-137.7009782929148,140.78801279225905,-122.5952178255628,-12.25952178255628,9.076935755423714,0.0,-122.5952178255628
8,60.10910350900562,-1913.925177905163,1803.3385574983122,46,50.234375,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-127.58793894367754,150.15863453354018,-42.500612806834695,-4.25006128068347,20.653869679297923,0.0,-42.500612806834695
9,60.2521108194114,-1870.7170223506487,2614.9597854364015,47,50.7265625,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-124.70557753170992,226.2330224256253,49.051892282496084,4.905189228249609,33.862086552614564,0.0,49.051892282496084
10,162.1388574961669,-1509.902400355238,1849.8873074213916,47,49.9453125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-100.65198814868253,170.4304758874709,44.536296520124,4.4536296520124,17.7706326121607,0.0,49.051892282496084
11,146.4797699117434,-1454.1247341832707,2678.0159882802327,47,50.828125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-96.93285207055139,225.39589242070863,116.23738814200784,11.623738814200784,9.53554927070402,0.0,116.23738814200784
12,156.47817650981239,-1866.9418670081125,2810.584213446772,47,47.75,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-124.4549369672075,233.51753632393323,-146.91541089911047,-14.691541089911041,47.47888222966959,0.0,116.23738814200784
13,156.47817650981239,-1660.6146104379936,2876.7598162251943,47,46.5390625,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-110.69945319586625,260.0871395485297,3.844560209189382,0.38445602091893816,27.899989615275313,0.0,116.23738814200784
14,185.44946789731,-1678.0230276467073,2334.4258623782116,48,46.375,128,0,128,0.0,1.0,1920,9,1911,0.0046875,0.9953125,-111.8598685097805,193.593682975128,164.46049812144153,16.446049812144153,14.582747678737375,0.0,164.46049812144153
15,187.72693188790424,-1753.9462765217202,3151.410463754525,48,47.4140625,128,0,128,0.0,1.0,1920,6,1914,0.003125,0.996875,-116.92123614311467,269.2239343558625,32.373318488770394,3.2373318488770395,25.428782626457583,0.0,164.46049812144153
16,206.42794906811434,-1390.9364703553845,2356.1084551961303,48,48.5390625,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-92.72029594035897,194.48495865980945,-401.39508559810554,-40.13950855981055,140.94819420466575,0.0,164.46049812144153
17,208.7054130587086,-1492.801198669688,3294.109731631411,53,49.875,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-99.5118403279792,271.1466565684999,-25.938165635272554,-2.5938165635272554,19.386335145321155,0.0,164.46049812144153
18,224.1977035180548,-1874.7747740857758,3285.256016876869,48,51.0234375,128,0,128,0.0,1.0,1920,13,1907,0.0067708333333333336,0.9932291666666667,-124.97694327238507,273.50231791965984,0.9666146028684608,0.09666146028684608,20.632232089154563,0.0,164.46049812144153
19,224.1977035180548,-1072.397470669276,2009.1852760469883,48,50.8359375,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-71.4852011696184,172.28535117042708,86.27080666628657,8.627080666628657,16.836199782952797,0.0,164.46049812144153
20,244.77996641357143,-1167.3793043130408,2357.8134889088315,48,50.625,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-77.81625049586938,204.65595388603532,61.33727558633338,6.133727558633337,20.792438384630955,0.0,164.46049812144153
21,244.77996641357143,-967.9918566568349,1633.6291613546323,48,50.4609375,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-64.52529044378899,138.54950016074153,-56.38381638853103,-5.638381638853103,46.834010208259066,0.0,164.46049812144153
22,244.77996641357143,-1372.3930907512906,2371.306893420554,48,48.953125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-91.4847008417527,192.16400242599894,-578.1240414141892,-57.81240414141892,139.48309148344094,0.0,164.46049812144153
