generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
0,-1603.5322097497715,-6435.575297625623,2835.9098562254608,13,15.7578125,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-429.0383531750415,253.1711595436437,-1022.4591036264417,-102.24591036264417,14.580089219156058,0.0,-1022.4591036264417
1,-1603.5322097497715,-2972.7684710764042,1697.5043144859783,13,17.15625,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-198.18173921759362,145.17386685455753,-1049.154277118814,-104.91542771188139,16.113655682461918,0.0,-1022.4591036264417
2,-1341.7199579710548,-2413.247887646599,1428.6405919969093,13,16.875,128,0,128,0.0,1.0,1920,1,1919,0.0005208333333333333,0.9994791666666667,-160.8806508431066,116.77233992441144,-1257.1698136732568,-125.71698136732566,95.02087924789834,0.0,-1022.4591036264417
3,-758.9810071500649,-2206.1914712115504,1494.4987012447073,13,17.0234375,128,0,128,0.0,1.0,1920,3,1917,0.0015625,0.9984375,-147.07628558077008,126.3858338239227,-383.21567144477433,-38.321567144477434,85.04625876523707,0.0,-383.21567144477433
4,-617.8845326023347,-1930.2183895873654,1098.3717539180407,16,17.3046875,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-128.67611399332438,101.27128844047289,-517.0955313581901,-51.70955313581902,118.52042449864838,0.1,-383.21567144477433
5,-617.8845326023347,-1977.8029198753693,1794.9508918372171,16,17.71875,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-131.84896288752464,140.15524604535483,-649.7169192430887,-64.97169192430886,28.948204698314186,0.0,-383.21567144477433
6,-617.8845326023347,-1686.16794275952,1391.279772887734,16,18.625,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-112.40638889230134,111.95803665040327,-542.0758627288926,-54.20758627288927,37.60272351455951,0.0,-383.21567144477433
7,-602.5958557442968,-1665.4642604056921,1616.7037568463254,14,21.5078125,128,0,128,0.0,1.0,1920,4,1916,0.0020833333333333333,0.9979166666666667,-111.02664340204615,125.06081171185477,-1090.717508297184,-109.0717508297184,49.64572638561889,0.0,-383.21567144477433
8,-602.5958557442968,-1426.6891851504297,1091.304879217818,14,20.203125,128,0,128,0.0,1.0,1920,0,1920,0.0,1.0,-95.10814619752864,93.11249226754062,-779.4866997764832,-77.94866997764832,40.16096756434127,0.0,-383.21567144477433
9,-474.61418269499103,-1548.6825602070417,1580.2058025049519,16,19.8671875,128,0,128,0.0,1.0,1920,2,1918,0.0010416666666666667,0.9989583333333333,-103.23931651380278,122.94106842104998,-684.1587481114833,-68.41587481114834,24.32662287448519,0.0,-383.21567144477433
