seed,gif,reward,steps,gif_frames,terminated,truncated,crashed
2056310161,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_01_seed_2056310161.gif,277.6908196596181,309,79,True,False,False
2054471889,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_02_seed_2054471889.gif,-2.3451783372086936,148,38,True,False,True
1783753107,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_03_seed_1783753107.gif,203.1446700575782,364,92,True,False,False
1190978416,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_04_seed_1190978416.gif,28.576803063185224,500,126,False,False,False
1897198875,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_05_seed_1897198875.gif,203.91811609197572,303,77,True,False,False
1473947087,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_06_seed_1473947087.gif,-17.64759395311758,192,49,True,False,True
1884907939,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_07_seed_1884907939.gif,118.31209427158468,500,126,False,False,False
4167753,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_08_seed_4167753.gif,185.19379369146895,326,83,True,False,False
556986815,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_09_seed_556986815.gif,283.8494782897313,260,66,True,False,False
1065419661,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_10_seed_1065419661.gif,267.91144684019963,458,116,True,False,False
1719381682,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_11_seed_1719381682.gif,-129.76009819010653,213,55,True,False,True
1234513384,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_12_seed_1234513384.gif,216.96651319643507,315,80,True,False,False
319387936,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_13_seed_319387936.gif,272.8225097334657,292,74,True,False,False
392521887,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_14_seed_392521887.gif,197.11892228688941,328,83,True,False,False
512046951,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_15_seed_512046951.gif,6.41380611338964,175,45,True,False,True
1612310307,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_16_seed_1612310307.gif,-5.5565511555055505,500,126,False,False,False
465241728,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_17_seed_465241728.gif,0.2942138628233564,500,126,False,False,False
674705180,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_18_seed_674705180.gif,284.6273291873887,301,77,True,False,False
1803888731,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_19_seed_1803888731.gif,198.9338821666203,357,91,True,False,False
1774199243,/Users/vukjurisic/Work/Uni/EvolutionaryAlgorithms/lunar_lander/experiment_runs/20260604_100444_tuned_s42_moreepisodes_200gens/checkpoints/best_training_tree_random_gifs/episode_20_seed_1774199243.gif,22.320188507245575,500,126,False,False,False
