generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
0,-2153.0407589679494,-9557.99317811343,4138.629054489133,8,15.6640625,128,0,128,0.0,1.0,2560,0,2560,0.0,1.0,-477.89965890567134,288.79793874676704,-729.8517966435911,-72.9851796643591,38.96474168811857,0.0,-729.8517966435911
1,-2153.0407589679494,-4511.252374286221,3007.631982040141,8,16.0703125,128,0,128,0.0,1.0,2560,1,2559,0.000390625,0.999609375,-225.5570835580611,186.85441097962016,-769.3100860748533,-76.93100860748532,43.062321861784376,0.0,-729.8517966435911
2,-1734.1700772983736,-4349.117968682704,3437.1461044990638,10,15.7421875,128,0,128,0.0,1.0,2560,3,2557,0.001171875,0.998828125,-217.45043749663517,202.85355187621374,-1124.8862750277126,-112.48862750277127,67.80453987103215,0.0,-729.8517966435911
3,-1734.1700772983736,-3528.7877733700734,2810.3413464003343,10,15.1640625,128,0,128,0.0,1.0,2560,3,2557,0.001171875,0.998828125,-176.43359569975368,166.9714162728901,-892.7433739032322,-89.2743373903232,31.69714906788554,0.0,-729.8517966435911
4,-1208.0668026910434,-4078.3399611858513,3410.292507539212,6,14.546875,128,0,128,0.0,1.0,2560,0,2560,0.0,1.0,-203.91129884054254,202.07606402068598,-881.7864006362757,-88.17864006362757,50.18325325226485,0.0,-729.8517966435911
5,-931.011889107713,-3634.0700924651255,3004.9131285315957,7,14.1328125,128,0,128,0.0,1.0,2560,0,2560,0.0,1.0,-181.69621165450627,199.8118406960062,-431.4363801358446,-43.143638013584464,30.40511104594925,0.0,-431.4363801358446
6,-773.8431466713402,-3600.8110095058632,3297.1347770599887,7,12.71875,128,0,128,0.0,1.0,2560,8,2552,0.003125,0.996875,-180.03407391279316,185.22114694071382,-489.69626845488546,-48.96962684548855,23.812090963674002,0.0,-431.4363801358446
7,-805.3859486265999,-3791.1569183677784,3770.0113049963547,19,11.171875,128,0,128,0.0,1.0,2560,16,2544,0.00625,0.99375,-189.55104123088893,206.4640174493429,-623.071219067707,-62.3071219067707,48.83120720683844,0.0,-431.4363801358446
8,-805.3859486265999,-5530.796432580341,4992.630738165282,19,14.1796875,128,0,128,0.0,1.0,2560,7,2553,0.002734375,0.997265625,-276.530966160267,286.4981257075276,-674.5681967229192,-67.45681967229191,52.15797239056884,0.0,-431.4363801358446
9,-295.41733531137356,-4140.813241791544,5034.071837478273,12,15.4140625,128,0,128,0.0,1.0,2560,6,2554,0.00234375,0.99765625,-207.03182224582716,286.0150053807352,-514.5175035640335,-51.45175035640335,56.39263918670352,0.0,-431.4363801358446
10,241.40287073787906,-3951.554477437422,4898.081304097579,12,17.6171875,128,0,128,0.0,1.0,2560,29,2531,0.011328125,0.988671875,-197.56247387187108,269.9453519613305,-348.0416472776595,-34.80416472776595,85.80184931071452,0.1,-348.0416472776595
11,-256.4804086351324,-3844.6101824332814,4551.2322683382245,22,17.921875,128,0,128,0.0,1.0,2560,43,2517,0.016796875,0.983203125,-192.21720834041406,253.08157979572962,-215.00400424820856,-21.500400424820857,67.26941800420062,0.1,-215.00400424820856
12,-256.4804086351324,-3722.9089714801153,4727.3410358285355,25,19.0546875,128,0,128,0.0,1.0,2560,110,2450,0.04296875,0.95703125,-186.13284310525574,273.3671655871485,-804.5485952919768,-80.45485952919766,58.359485846934646,0.0,-215.00400424820856
13,-249.37438207947116,-4271.316326875347,5001.843649555739,22,19.25,128,0,128,0.0,1.0,2560,156,2404,0.0609375,0.9390625,-213.55375775001735,308.4939183458493,-522.0370504430349,-52.20370504430349,45.60451606456854,0.0,-215.00400424820856
14,-249.37438207947116,-4238.813899480275,5171.806300465546,22,20.1171875,128,0,128,0.0,1.0,2560,171,2389,0.066796875,0.933203125,-211.92730044276368,313.2716740522671,-282.10352047621177,-28.21035204762118,63.31373419428641,0.0,-215.00400424820856
15,-249.37438207947116,-3796.570728840803,4991.810327263473,34,23.265625,128,0,128,0.0,1.0,2560,193,2367,0.075390625,0.924609375,-189.8160169107901,293.64084468355605,-506.15896420208423,-50.615896420208436,54.917170325762214,0.0,-215.00400424820856
16,-232.49131689636454,-4214.309922471,4973.220344116323,42,24.9140625,128,0,128,0.0,1.0,2560,185,2375,0.072265625,0.927734375,-210.7018906548,294.6700239022057,-430.77582961271946,-43.07758296127194,58.26350072069822,0.0,-215.00400424820856
17,326.43782356196607,-4300.751614928477,5530.2347821330995,22,26.7578125,128,0,128,0.0,1.0,2560,196,2364,0.0765625,0.9234375,-215.02644012142378,314.1030706214878,116.16077765051298,11.616077765051298,37.974232633809756,0.0,116.16077765051298
18,419.5809687153516,-2911.0653165030462,4528.833258717655,22,26.875,128,0,128,0.0,1.0,2560,256,2304,0.1,0.9,-145.5375158251523,274.84026834728303,54.37131844236171,5.437131844236172,34.4571498895943,0.0,116.16077765051298
19,620.5384901142751,-3002.6334077525253,4973.572857292733,22,28.0078125,128,0,128,0.0,1.0,2560,228,2332,0.0890625,0.9109375,-150.11817429387628,293.27039675552805,-117.851540229564,-11.7851540229564,86.52100822662169,0.0,116.16077765051298
20,1615.966863052339,-3250.5048767465505,5505.9094315427,22,25.59375,128,0,128,0.0,1.0,2560,216,2344,0.084375,0.915625,-162.51018133732754,315.779086414118,494.23907660120335,49.423907660120335,84.6382535146828,0.3,494.23907660120335
21,1761.5416887269455,-3788.58765825682,5697.258690529809,23,24.2734375,128,0,128,0.0,1.0,2560,206,2354,0.08046875,0.91953125,-189.40669541284097,316.5322855639308,126.35800300521622,12.635800300521622,81.22526425021341,0.1,494.23907660120335
22,1803.0448907250393,-2919.424123681903,5411.399523964833,23,26.890625,128,0,128,0.0,1.0,2560,352,2208,0.1375,0.8625,-145.95067884034515,298.43083389870657,468.9549911769765,46.895499117697646,91.74009855627727,0.4,494.23907660120335
23,1894.0399175394832,-2411.4889424944568,5292.863438728567,26,27.5390625,128,0,128,0.0,1.0,2560,562,1998,0.21953125,0.78046875,-120.54881821847286,311.9599294329931,559.3079396690779,55.93079396690778,82.1903926529677,0.5,559.3079396690779
